"Date","Price","Open","High","Low","Vol.","Change %"
"18/09/2024","285.00","275.00","285.00","275.00","1.50K","7.14%"
"13/09/2024","266.00","266.00","266.00","266.00","0.20K","-4.32%"
"10/09/2024","278.00","278.00","278.00","278.00","0.02K","9.66%"
"09/09/2024","253.50","276.00","276.00","253.50","0.05K","-7.82%"
"05/09/2024","275.00","280.00","280.00","275.00","5.00K","-6.78%"
"04/09/2024","295.00","280.00","295.00","280.00","0.01K","6.88%"
"03/09/2024","276.00","283.00","283.00","276.00","0.05K","-3.16%"
"02/09/2024","285.00","285.00","285.00","285.00","1.00K","0.00%"
"29/08/2024","285.00","284.00","285.00","284.00","0.40K","0.00%"
"28/08/2024","285.00","279.00","285.00","279.00","2.00K","2.15%"
"27/08/2024","279.00","280.00","280.00","279.00","0.22K","-0.71%"
"26/08/2024","281.00","282.00","282.00","281.00","0.05K","0.00%"
"20/08/2024","281.00","281.00","281.00","281.00","0.01K","-3.10%"
"16/08/2024","290.00","290.00","290.00","290.00","0.51K","-0.34%"
"15/08/2024","291.00","290.00","291.00","290.00","1.10K","0.00%"
"14/08/2024","291.00","281.00","291.00","281.00","0.10K","2.11%"
"13/08/2024","285.00","281.00","285.00","281.00","1.62K","-1.72%"
"06/08/2024","290.00","290.00","290.00","290.00","0.00K","1.40%"
"01/08/2024","286.00","288.00","290.00","286.00","1.16K","-0.69%"
"31/07/2024","288.00","288.00","288.00","288.00","0.09K","0.61%"
"30/07/2024","286.25","290.00","290.00","286.00","0.15K","-1.29%"
"29/07/2024","290.00","290.00","290.00","290.00","0.05K","1.40%"
"26/07/2024","286.00","290.00","290.00","286.00","0.06K","-1.38%"
"25/07/2024","290.00","290.00","290.00","286.00","3.51K","0.00%"
"24/07/2024","290.00","290.00","290.00","290.00","1.05K","3.20%"
"23/07/2024","281.00","281.00","281.00","281.00","0.00K","-3.10%"
"22/07/2024","290.00","286.00","290.00","286.00","3.00K","0.00%"
"19/07/2024","290.00","290.00","290.00","290.00","1.41K","-3.17%"
"18/07/2024","299.50","291.00","299.50","290.00","5.53K","1.53%"
"17/07/2024","295.00","291.00","295.00","290.00","8.02K","1.55%"
"16/07/2024","290.50","290.00","300.00","290.00","9.93K","0.17%"
"15/07/2024","290.00","288.00","290.00","288.00","3.01K","-1.19%"
"12/07/2024","293.50","290.00","293.50","287.00","0.13K","-1.84%"
"11/07/2024","299.00","302.00","302.00","299.00","0.00K","-0.17%"
"10/07/2024","299.50","299.50","299.50","299.50","0.00K","1.53%"
"09/07/2024","295.00","299.00","299.00","295.00","0.11K","6.88%"
"08/07/2024","276.00","299.00","299.00","276.00","0.09K","-8.61%"
"05/07/2024","302.00","290.25","302.00","290.25","0.15K","-0.98%"
"04/07/2024","305.00","300.50","305.00","300.50","0.00K","3.39%"
"03/07/2024","295.00","295.00","295.00","295.00","0.00K","0.00%"
"01/07/2024","295.00","295.00","295.00","295.00","0.00K","-1.67%"
"28/06/2024","300.00","301.25","301.25","300.00","0.41K","-0.50%"
"27/06/2024","301.50","302.00","306.75","301.50","0.07K","0.17%"
"26/06/2024","301.00","300.00","308.25","300.00","0.78K","0.33%"
"25/06/2024","300.00","291.00","300.00","291.00","4.76K","0.00%"
"24/06/2024","300.00","290.00","300.00","290.00","3.08K","6.19%"
"20/06/2024","282.50","282.50","282.50","282.50","0.00K","-2.59%"
"18/06/2024","290.00","295.00","295.00","280.00","1.01K","-2.03%"
"14/06/2024","296.00","295.00","298.00","295.00","5.76K","2.78%"
"13/06/2024","288.00","288.00","288.00","288.00","0.00K","0.00%"
"12/06/2024","288.00","288.00","288.25","288.00","0.10K","-2.29%"
"11/06/2024","294.75","294.75","294.75","294.75","0.03K","3.42%"
"10/06/2024","285.00","291.00","291.00","285.00","1.42K","-1.38%"
"07/06/2024","289.00","300.00","300.00","280.00","0.62K","-3.67%"
"06/06/2024","300.00","286.00","300.00","286.00","0.44K","7.14%"
"05/06/2024","280.00","285.00","285.00","280.00","1.50K","-1.75%"
"04/06/2024","285.00","280.00","285.00","280.00","0.36K","1.79%"
"03/06/2024","280.00","280.00","280.00","280.00","0.00K","0.00%"
"31/05/2024","280.00","280.00","280.00","280.00","0.05K","-0.18%"
"30/05/2024","280.50","280.00","280.50","280.00","0.07K","0.18%"
