"Date","Price","Open","High","Low","Vol.","Change %"
"18/09/2024","910.00","900.75","910.00","900.25","5.55K","0.55%"
"13/09/2024","905.00","905.00","915.00","901.00","3.05K","0.00%"
"12/09/2024","905.00","905.00","905.00","905.00","0.01K","0.22%"
"11/09/2024","903.00","905.25","905.25","903.00","0.04K","-0.22%"
"10/09/2024","905.00","910.00","910.00","905.00","2.19K","-0.55%"
"09/09/2024","910.00","920.00","920.00","910.00","0.09K","-0.55%"
"06/09/2024","915.00","915.00","915.00","915.00","2.01K","0.55%"
"05/09/2024","910.00","922.00","922.00","910.00","3.20K","0.55%"
"04/09/2024","905.00","924.00","924.00","905.00","0.01K","0.33%"
"03/09/2024","902.00","915.00","915.00","902.00","0.03K","-1.42%"
"02/09/2024","915.00","915.00","915.00","915.00","0.00K","-1.08%"
"30/08/2024","925.00","925.00","925.00","925.00","10.00K","0.00%"
"28/08/2024","925.00","925.25","925.25","925.00","0.10K","-0.03%"
"27/08/2024","925.25","938.00","938.00","925.25","0.01K","0.03%"
"26/08/2024","925.00","925.00","925.00","925.00","0.05K","-0.54%"
"23/08/2024","930.00","934.25","934.25","930.00","0.44K","-1.59%"
"22/08/2024","945.00","940.00","945.00","940.00","0.10K","0.53%"
"21/08/2024","940.00","944.00","944.00","940.00","0.01K","-0.53%"
"20/08/2024","945.00","939.75","945.00","939.75","0.36K","2.16%"
"16/08/2024","925.00","940.00","940.00","925.00","0.02K","-1.60%"
"15/08/2024","940.00","934.00","940.00","934.00","1.71K","0.64%"
"13/08/2024","934.00","935.00","935.00","925.00","8.01K","0.54%"
"12/08/2024","929.00","920.00","930.00","920.00","5.12K","0.98%"
"09/08/2024","920.00","925.00","925.00","920.00","3.01K","-1.58%"
"07/08/2024","934.75","935.00","935.00","918.00","0.01K","1.38%"
"05/08/2024","922.00","925.00","925.00","922.00","0.62K","-0.32%"
"02/08/2024","925.00","935.00","935.00","925.00","10.14K","-1.07%"
"01/08/2024","935.00","935.00","935.00","935.00","0.25K","1.08%"
"31/07/2024","925.00","926.00","926.00","925.00","2.11K","0.00%"
"30/07/2024","925.00","940.00","940.00","925.00","3.41K","-1.60%"
"29/07/2024","940.00","950.00","950.00","940.00","0.72K","-1.05%"
"26/07/2024","950.00","939.00","950.00","939.00","3.51K","1.17%"
"25/07/2024","939.00","935.00","939.75","930.00","0.20K","0.97%"
"24/07/2024","930.00","915.00","930.00","915.00","4.48K","1.64%"
"23/07/2024","915.00","915.00","915.00","915.00","2.12K","-0.54%"
"22/07/2024","920.00","914.00","920.00","914.00","0.56K","0.99%"
"19/07/2024","911.00","911.00","911.00","910.00","6.62K","0.11%"
"18/07/2024","910.00","910.25","910.25","908.50","0.94K","0.00%"
"17/07/2024","910.00","919.00","919.00","910.00","1.65K","0.22%"
"16/07/2024","908.00","909.00","909.00","908.00","0.02K","-0.22%"
"15/07/2024","910.00","903.00","910.00","903.00","5.59K","0.78%"
"12/07/2024","903.00","905.00","905.00","903.00","0.94K","-0.44%"
"11/07/2024","907.00","904.75","907.00","903.00","0.59K","0.78%"
"10/07/2024","900.00","905.00","905.00","900.00","9.27K","-0.55%"
"09/07/2024","905.00","907.00","907.00","901.00","0.01K","-0.22%"
"08/07/2024","907.00","881.75","907.00","881.75","10.61K","0.83%"
"05/07/2024","899.50","899.50","899.50","899.50","0.06K","2.07%"
"04/07/2024","881.25","899.00","899.00","881.25","0.25K","-2.08%"
"03/07/2024","900.00","900.00","900.00","900.00","0.22K","0.00%"
"02/07/2024","900.00","890.25","900.00","890.25","2.41K","0.14%"
"01/07/2024","898.75","899.75","899.75","898.00","0.59K","-0.11%"
"28/06/2024","899.75","899.75","899.75","899.75","0.00K","3.42%"
"27/06/2024","870.00","919.00","919.50","870.00","1.15K","-3.33%"
"26/06/2024","900.00","900.00","919.00","900.00","3.36K","1.07%"
"25/06/2024","890.50","900.00","900.00","890.50","0.38K","-1.06%"
"24/06/2024","900.00","899.75","900.00","891.00","6.57K","1.12%"
"20/06/2024","890.00","888.00","899.00","888.00","5.76K","0.00%"
"19/06/2024","890.00","870.00","899.00","870.00","2.56K","3.13%"
"18/06/2024","863.00","863.00","863.00","863.00","0.01K","-0.86%"
"14/06/2024","870.50","870.00","870.50","870.00","0.03K","0.64%"
"13/06/2024","865.00","855.00","871.00","850.00","3.36K","1.17%"
"12/06/2024","855.00","850.00","855.00","849.75","24.01K","2.98%"
"11/06/2024","830.25","850.00","850.00","830.25","14.50K","0.03%"
"10/06/2024","830.00","836.00","836.00","830.00","9.50K","-2.35%"
"07/06/2024","850.00","850.00","850.00","850.00","0.00K","-0.23%"
"06/06/2024","852.00","850.00","852.00","833.00","0.02K","2.65%"
"05/06/2024","830.00","831.00","850.00","830.00","4.25K","0.00%"
"04/06/2024","830.00","840.00","840.00","830.00","21.00K","0.00%"
"03/06/2024","830.00","855.00","855.00","829.50","12.92K","-2.92%"
"31/05/2024","855.00","840.00","859.75","840.00","0.11K","1.79%"
"29/05/2024","840.00","835.00","840.00","830.00","5.65K","0.93%"
"28/05/2024","832.25","832.25","832.25","832.25","0.00K","-4.34%"
"27/05/2024","870.00","848.50","870.00","825.00","0.08K","1.16%"
"22/05/2024","860.00","850.00","860.00","813.75","2.64K","-1.15%"
"21/05/2024","870.00","865.25","870.00","865.00","0.37K","0.00%"
"20/05/2024","870.00","865.50","870.00","865.00","0.20K","0.00%"
"17/05/2024","870.00","875.00","875.00","870.00","1.53K","-0.57%"
"16/05/2024","875.00","875.00","875.00","870.25","1.44K","0.57%"
"15/05/2024","870.00","865.25","870.00","864.00","6.10K","0.69%"
"14/05/2024","864.00","870.00","870.00","864.00","12.44K","-1.26%"
"13/05/2024","875.00","867.00","875.00","860.00","5.17K","0.11%"
"10/05/2024","874.00","874.50","879.00","865.00","8.26K","0.92%"
"09/05/2024","866.00","875.00","875.00","866.00","0.54K","-1.48%"
"08/05/2024","879.00","879.00","879.00","879.00","0.02K","1.03%"
"07/05/2024","870.00","875.00","875.00","866.00","0.06K","0.81%"
"06/05/2024","863.00","865.00","875.00","863.00","11.78K","-0.23%"
"03/05/2024","865.00","874.75","875.00","864.00","1.85K","1.17%"
"02/05/2024","855.00","875.00","875.00","855.00","0.45K","-2.29%"
"30/04/2024","875.00","874.75","875.00","874.00","0.08K","0.00%"
"29/04/2024","875.00","860.00","875.00","850.00","10.15K","1.74%"
"26/04/2024","860.00","879.50","900.00","860.00","0.94K","1.18%"
"25/04/2024","850.00","850.00","850.00","848.00","1.22K","0.00%"
"24/04/2024","850.00","850.00","850.00","850.00","1.00K","0.00%"
"22/04/2024","850.00","845.00","850.00","845.00","0.81K","0.59%"
"19/04/2024","845.00","848.00","850.50","843.00","2.82K","-0.59%"
"18/04/2024","850.00","845.00","850.00","844.00","5.91K","0.00%"
"17/04/2024","850.00","850.50","850.50","845.00","0.47K","0.59%"
"16/04/2024","845.00","850.50","850.50","845.00","2.34K","-0.65%"
"15/04/2024","850.50","862.75","862.75","850.00","2.72K","-1.10%"
"10/04/2024","860.00","860.00","860.00","859.75","1.55K","1.06%"
"09/04/2024","851.00","850.00","851.00","850.00","0.28K","0.35%"
"08/04/2024","848.00","850.00","850.00","842.00","1.60K","-0.24%"
"05/04/2024","850.00","845.00","850.00","843.00","0.18K","0.00%"
"04/04/2024","850.00","850.00","855.00","850.00","5.48K","0.12%"
"03/04/2024","849.00","849.00","849.00","849.00","1.81K","0.47%"
"02/04/2024","845.00","848.00","849.00","845.00","0.90K","0.60%"
"01/04/2024","840.00","848.00","848.00","840.00","0.12K","-0.12%"
"28/03/2024","841.00","849.75","849.75","841.00","0.03K","-0.94%"
"27/03/2024","849.00","850.00","850.00","849.00","0.02K","-0.12%"
"26/03/2024","850.00","841.50","850.00","841.50","1.87K","0.59%"
"25/03/2024","845.00","850.00","850.00","841.00","0.18K","-0.47%"
"22/03/2024","849.00","849.00","850.00","840.00","3.63K","3.54%"
"21/03/2024","820.00","820.00","820.00","820.00","0.65K","0.12%"
"20/03/2024","819.00","825.00","825.00","819.00","1.16K","0.00%"
"19/03/2024","819.00","829.75","829.75","819.00","0.01K","-0.12%"
"18/03/2024","820.00","820.00","820.00","820.00","1.96K","0.00%"
"15/03/2024","820.00","825.00","825.00","816.00","0.05K","0.49%"
"14/03/2024","816.00","840.00","840.00","816.00","3.67K","-0.49%"
"13/03/2024","820.00","820.00","820.00","815.00","1.23K","0.00%"
"12/03/2024","820.00","827.00","827.00","820.00","0.14K","0.00%"
"11/03/2024","820.00","817.00","830.00","816.00","0.16K","1.11%"
"07/03/2024","811.00","817.00","817.00","810.00","5.21K","-0.70%"
"06/03/2024","816.75","811.00","816.75","811.00","2.50K","0.83%"
"05/03/2024","810.00","810.00","810.00","810.00","18.90K","1.22%"
"04/03/2024","800.25","810.00","810.00","800.25","33.61K","-2.41%"
"01/03/2024","820.00","819.00","820.00","819.00","0.04K","0.74%"
"29/02/2024","814.00","810.00","814.00","810.00","0.38K","1.62%"
"27/02/2024","801.00","801.00","802.00","800.25","0.53K","0.13%"
"26/02/2024","800.00","808.00","820.00","800.00","0.46K","-0.65%"
"21/02/2024","805.25","804.00","805.25","804.00","0.09K","-0.22%"
"20/02/2024","807.00","807.00","810.00","807.00","6.74K","-0.37%"
"19/02/2024","810.00","812.00","812.00","804.00","0.35K","0.12%"
"16/02/2024","809.00","810.00","810.00","809.00","0.02K","-0.12%"
"15/02/2024","810.00","809.25","810.00","807.00","7.04K","0.25%"
"13/02/2024","808.00","810.00","810.00","805.00","1.40K","-0.12%"
"12/02/2024","809.00","814.75","814.75","809.00","0.05K","-0.12%"
"09/02/2024","810.00","810.00","810.00","810.00","0.02K","0.00%"
"08/02/2024","810.00","815.00","815.00","810.00","7.36K","0.00%"
"07/02/2024","810.00","809.50","814.00","807.00","2.17K","0.06%"
"06/02/2024","809.50","809.75","809.75","806.00","0.15K","-0.03%"
"02/02/2024","809.75","805.00","810.00","805.00","8.02K","0.59%"
"01/02/2024","805.00","810.00","810.00","805.00","4.41K","-1.68%"
"31/01/2024","818.75","819.50","819.50","818.75","0.02K","1.71%"
"30/01/2024","805.00","819.75","819.75","805.00","2.80K","0.63%"
"29/01/2024","800.00","805.00","818.00","800.00","2.50K","-0.50%"
"26/01/2024","804.00","789.00","804.00","789.00","0.02K","1.90%"
"24/01/2024","789.00","789.00","789.00","789.00","0.00K","0.90%"
"23/01/2024","782.00","790.00","790.00","781.50","0.51K","-1.01%"
"22/01/2024","790.00","800.00","800.00","790.00","0.07K","-1.74%"
"19/01/2024","804.00","799.50","804.00","799.50","1.34K","0.59%"
"18/01/2024","799.25","790.00","800.00","790.00","0.13K","1.17%"
"17/01/2024","790.00","783.00","800.00","780.00","377.82K","-1.25%"
"16/01/2024","800.00","820.00","820.00","780.00","170.87K","-4.76%"
"12/01/2024","840.00","840.00","840.00","840.00","0.00K","2.44%"
"11/01/2024","820.00","840.00","840.00","820.00","13.66K","0.00%"
"10/01/2024","820.00","840.00","840.00","820.00","0.56K","0.00%"
"09/01/2024","820.00","820.00","820.00","820.00","0.06K","0.00%"
"05/01/2024","820.00","820.00","820.00","820.00","17.11K","0.00%"
"04/01/2024","820.00","820.00","820.00","820.00","11.03K","0.00%"
"03/01/2024","820.00","820.25","846.50","820.00","4.48K","-3.13%"
