"Date","Price","Open","High","Low","Vol.","Change %"
"18/09/2024","83.60","82.70","83.70","81.00","1.05M","1.33%"
"13/09/2024","82.50","79.80","82.50","79.80","566.65K","3.38%"
"12/09/2024","79.80","80.00","81.50","78.00","5.24M","-0.25%"
"11/09/2024","80.00","81.00","81.20","79.90","4.57M","-0.62%"
"10/09/2024","80.50","81.90","82.50","79.90","693.99K","-1.35%"
"09/09/2024","81.60","84.10","84.10","81.50","439.28K","-2.86%"
"06/09/2024","84.00","85.80","87.50","84.00","323.66K","-2.21%"
"05/09/2024","85.90","86.70","89.00","85.20","266.54K","-0.12%"
"04/09/2024","86.00","84.00","86.50","83.00","2.16M","2.38%"
"03/09/2024","84.00","84.50","84.90","83.00","695.53K","-0.59%"
"02/09/2024","84.50","86.00","87.00","84.40","313.97K","-2.76%"
"30/08/2024","86.90","88.00","88.00","85.20","326.27K","1.05%"
"29/08/2024","86.00","86.40","88.70","85.60","426.97K","-1.04%"
"28/08/2024","86.90","89.00","89.00","86.50","370.46K","-3.01%"
"27/08/2024","89.60","90.00","92.00","89.10","290.41K","-0.44%"
"26/08/2024","90.00","91.90","91.90","89.60","102.04K","-2.17%"
"23/08/2024","92.00","94.30","94.30","91.00","64.56K","-1.08%"
"22/08/2024","93.00","93.90","93.90","93.00","81.20K","-0.85%"
"21/08/2024","93.80","94.00","94.00","93.00","55.78K","-0.11%"
"20/08/2024","93.90","94.00","94.40","93.50","160.29K","0.21%"
"16/08/2024","93.70","94.00","94.80","93.70","22.36K","-0.32%"
"15/08/2024","94.00","93.00","96.00","93.00","36.59K","1.08%"
"14/08/2024","93.00","91.30","93.50","91.00","242.16K","2.20%"
"13/08/2024","91.00","90.50","91.40","90.30","23.65K","0.00%"
"12/08/2024","91.00","89.00","91.50","88.50","188.95K","1.68%"
"09/08/2024","89.50","90.00","90.00","88.50","256.24K","-0.22%"
"08/08/2024","89.70","90.00","90.00","89.00","226.84K","0.00%"
"07/08/2024","89.70","90.00","90.50","89.70","77.82K","-0.33%"
"06/08/2024","90.00","90.00","90.50","88.50","286.24K","1.12%"
"05/08/2024","89.00","93.00","93.00","88.30","202.47K","-4.30%"
"02/08/2024","93.00","93.00","93.50","92.50","76.51K","0.43%"
"01/08/2024","92.60","92.80","94.50","92.40","47.79K","0.33%"
"31/07/2024","92.30","94.00","94.00","92.20","63.02K","-1.28%"
"30/07/2024","93.50","94.10","94.10","93.00","78.14K","-1.06%"
"29/07/2024","94.50","95.00","95.00","94.40","156.53K","-0.53%"
"26/07/2024","95.00","96.00","96.10","94.50","231.74K","-1.25%"
"25/07/2024","96.20","97.50","98.70","96.00","166.56K","-0.93%"
"24/07/2024","97.10","95.50","97.40","95.20","145.97K","1.15%"
"23/07/2024","96.00","95.20","96.90","94.80","129.54K","0.10%"
"22/07/2024","95.90","99.10","99.30","95.00","169.53K","-3.62%"
"19/07/2024","99.50","99.00","99.90","99.00","29.05K","0.51%"
"18/07/2024","99.00","99.70","100.00","99.00","159.74K","-1.00%"
"17/07/2024","100.00","101.00","101.00","99.00","59.91K","-0.99%"
"16/07/2024","101.00","101.00","102.75","100.50","129.70K","-0.25%"
"15/07/2024","101.25","100.28","101.73","100.28","568.13K","0.97%"
"12/07/2024","100.28","98.34","100.77","98.34","263.98K","2.22%"
"11/07/2024","98.10","98.83","98.83","97.86","84.77K","-0.25%"
"10/07/2024","98.34","98.83","98.83","97.86","63.28K","-0.25%"
"09/07/2024","98.59","99.80","99.80","98.34","207.98K","-1.21%"
"08/07/2024","99.80","100.52","100.77","99.80","165.38K","-0.72%"
"05/07/2024","100.52","100.28","101.73","99.80","137.60K","0.24%"
"04/07/2024","100.28","102.22","102.46","99.80","238.24K","-0.72%"
"03/07/2024","101.01","101.49","101.73","100.52","78.62K","0.24%"
"02/07/2024","100.77","102.46","102.46","100.52","253.11K","-0.24%"
"01/07/2024","101.01","102.95","102.95","100.77","87.07K","-1.18%"
"28/06/2024","102.22","102.95","102.95","101.01","484.10K","-0.47%"
"27/06/2024","102.70","103.67","104.16","102.46","365.87K","-0.93%"
"26/06/2024","103.67","103.19","103.67","102.46","255.13K","0.94%"
"25/06/2024","102.70","102.70","103.91","102.46","356.13K","0.24%"
"24/06/2024","102.46","102.46","103.19","102.22","448.98K","-3.11%"
"20/06/2024","105.75","105.50","106.25","105.50","53.71K","-0.47%"
"19/06/2024","106.25","106.25","108.00","105.75","148.71K","0.00%"
