"Date","Price","Open","High","Low","Vol.","Change %"
"18/09/2024","164.00","162.00","165.00","159.75","1.05M","2.66%"
"13/09/2024","159.75","155.00","159.75","155.00","1.25M","3.06%"
"12/09/2024","155.00","160.00","160.00","155.00","1.72M","-1.59%"
"11/09/2024","157.50","157.00","160.00","155.00","230.53K","0.32%"
"10/09/2024","157.00","159.00","160.00","153.50","1.25M","-1.26%"
"09/09/2024","159.00","165.00","165.00","158.25","570.80K","-3.05%"
"06/09/2024","164.00","165.00","167.00","163.00","122.83K","0.00%"
"05/09/2024","164.00","168.00","170.00","164.00","425.78K","-2.38%"
"04/09/2024","168.00","168.00","168.00","163.50","1.25M","2.44%"
"03/09/2024","164.00","165.00","170.00","162.50","335.98K","-0.61%"
"02/09/2024","165.00","167.00","167.00","165.00","127.74K","-1.79%"
"30/08/2024","168.00","173.00","175.00","167.00","355.47K","-2.89%"
"29/08/2024","173.00","183.00","183.00","173.00","5.33K","0.14%"
"28/08/2024","172.75","175.00","180.00","172.75","75.69K","-1.14%"
"27/08/2024","174.75","176.00","176.00","172.00","52.38K","-0.14%"
"26/08/2024","175.00","179.00","180.25","174.25","102.49K","-2.78%"
"23/08/2024","180.00","182.00","182.50","179.75","430.14K","-1.10%"
"22/08/2024","182.00","184.50","184.75","182.00","180.51K","-1.22%"
"21/08/2024","184.25","185.00","185.00","183.00","49.22K","-0.41%"
"20/08/2024","185.00","185.75","186.00","183.50","205.58K","0.27%"
"16/08/2024","184.50","185.00","185.00","182.25","9.19K","1.37%"
"15/08/2024","182.00","185.00","186.00","180.00","365.98K","1.11%"
"14/08/2024","180.00","183.50","183.50","179.50","188.58K","0.14%"
"13/08/2024","179.75","179.50","180.00","179.00","68.82K","0.00%"
"12/08/2024","179.75","181.25","183.50","179.50","55.03K","-0.42%"
"09/08/2024","180.50","180.00","184.00","180.00","20.65K","0.28%"
"08/08/2024","180.00","184.00","185.00","180.00","87.58K","-2.17%"
"07/08/2024","184.00","185.00","185.00","184.00","0.41K","0.55%"
"06/08/2024","183.00","181.25","188.00","181.25","22.50K","0.83%"
"05/08/2024","181.50","189.00","189.00","180.50","103.82K","-2.42%"
"02/08/2024","186.00","190.00","190.00","186.00","52.58K","-1.72%"
"01/08/2024","189.25","189.00","189.50","188.50","1.10K","-0.13%"
"31/07/2024","189.50","191.00","191.00","187.00","201.27K","0.66%"
"30/07/2024","188.25","189.75","190.00","188.00","141.90K","-0.13%"
"29/07/2024","188.50","189.00","193.00","188.50","56.13K","-1.31%"
"26/07/2024","191.00","193.00","193.00","190.00","216.44K","0.79%"
"25/07/2024","189.50","193.00","193.00","189.00","49.48K","0.26%"
"24/07/2024","189.00","189.00","194.75","188.00","33.63K","0.00%"
"23/07/2024","189.00","189.00","192.25","186.00","110.95K","0.53%"
"22/07/2024","188.00","192.75","194.50","188.00","108.75K","-2.08%"
"19/07/2024","192.00","195.00","195.00","191.75","236.23K","-1.03%"
"18/07/2024","194.00","195.00","195.00","194.00","56.97K","-1.02%"
"17/07/2024","196.00","199.00","199.00","195.00","28.33K","-0.63%"
"16/07/2024","197.25","200.00","205.00","195.25","6.29K","0.64%"
"15/07/2024","196.00","195.00","199.00","195.00","16.34K","0.13%"
"12/07/2024","195.75","195.50","195.75","194.50","386.97K","-0.13%"
"11/07/2024","196.00","197.75","197.75","194.50","87.91K","0.51%"
"10/07/2024","195.00","197.00","197.50","194.00","14.31K","0.00%"
"09/07/2024","195.00","195.00","198.75","195.00","34.26K","-0.38%"
"08/07/2024","195.75","199.00","199.00","195.50","80.78K","-1.14%"
"05/07/2024","198.00","197.50","200.00","196.50","29.37K","-1.00%"
"04/07/2024","200.00","201.75","205.75","197.50","145.43K","1.01%"
