"Date","Price","Open","High","Low","Vol.","Change %"
"18/09/2024","72.90","70.10","73.00","70.10","852.04K","4.14%"
"13/09/2024","70.00","68.00","70.50","68.00","288.49K","2.94%"
"12/09/2024","68.00","68.50","69.00","67.90","224.22K","-0.15%"
"11/09/2024","68.10","69.10","69.50","67.90","270.36K","-0.58%"
"10/09/2024","68.50","68.70","70.00","67.70","231.69K","-0.15%"
"09/09/2024","68.60","69.70","70.00","68.60","182.76K","-2.00%"
"06/09/2024","70.00","70.00","70.50","69.70","201.21K","-0.57%"
"05/09/2024","70.40","70.00","71.00","69.80","977.33K","0.57%"
"04/09/2024","70.00","68.20","70.00","68.00","1.11M","2.94%"
"03/09/2024","68.00","68.70","68.80","67.10","581.55K","-1.16%"
"02/09/2024","68.80","69.70","70.90","68.50","335.62K","-2.96%"
"30/08/2024","70.90","71.00","71.20","69.30","1.39M","-0.56%"
"29/08/2024","71.30","73.20","73.50","69.50","5.62M","-2.46%"
"28/08/2024","73.10","74.40","74.50","72.00","156.09K","-2.01%"
"27/08/2024","74.60","75.50","75.50","74.20","168.59K","-0.67%"
"26/08/2024","75.10","76.50","77.00","75.00","295.06K","-1.31%"
"23/08/2024","76.10","77.30","77.30","76.00","155.87K","-1.55%"
"22/08/2024","77.30","77.90","77.90","77.10","22.27K","-0.26%"
"21/08/2024","77.50","77.20","78.00","77.00","1.43M","0.52%"
"20/08/2024","77.10","77.20","77.50","76.80","348.10K","-0.13%"
"16/08/2024","77.20","78.00","78.00","77.20","280.16K","0.13%"
"15/08/2024","77.10","76.50","77.50","76.50","94.76K","0.92%"
"14/08/2024","76.40","75.90","76.50","75.10","162.27K","0.66%"
"13/08/2024","75.90","75.30","75.90","74.80","142.03K","0.13%"
"12/08/2024","75.80","76.00","76.20","75.00","164.81K","0.26%"
"09/08/2024","75.60","74.50","76.60","74.50","206.16K","1.48%"
"08/08/2024","74.50","74.00","75.00","73.90","2.05M","1.09%"
"07/08/2024","73.70","74.00","74.40","73.60","151.78K","-0.41%"
"06/08/2024","74.00","73.60","74.50","73.60","83.64K","0.27%"
"05/08/2024","73.80","75.40","75.40","73.60","235.48K","-2.12%"
"02/08/2024","75.40","75.50","75.50","75.10","98.97K","-0.13%"
"01/08/2024","75.50","75.10","75.90","75.00","230.28K","0.67%"
"31/07/2024","75.00","75.60","75.90","74.70","135.16K","-0.92%"
"30/07/2024","75.70","76.30","76.30","75.70","475.45K","-0.39%"
"29/07/2024","76.00","76.50","76.50","76.00","170.72K","-0.65%"
"26/07/2024","76.50","76.80","76.90","76.20","75.49K","-0.52%"
"25/07/2024","76.90","76.90","77.00","75.90","407.57K","0.13%"
