"Date","Price","Open","High","Low","Vol.","Change %"
"09/13/2024","10,691.52","10,567.26","10,704.29","10,567.26","50.11M","1.10%"
"09/12/2024","10,575.07","10,574.82","10,669.42","10,570.16","25.29M","0.00%"
"09/11/2024","10,574.82","10,571.23","10,636.58","10,571.23","","-0.18%"
"09/10/2024","10,593.48","10,663.11","10,706.33","10,547.43","","-0.48%"
"09/09/2024","10,644.18","10,775.87","10,798.93","10,644.18","32.83M","-1.43%"
"09/06/2024","10,798.67","10,801.18","10,819.86","10,759.10","22.68M","-0.08%"
"09/05/2024","10,807.48","10,837.10","10,971.63","10,803.71","62.26M","-0.42%"
"09/04/2024","10,853.29","10,673.11","10,853.29","10,673.11","43.68M","1.61%"
"09/03/2024","10,680.83","10,719.50","10,728.37","10,587.23","47.14M","-0.33%"
"09/02/2024","10,716.26","10,869.07","10,872.40","10,715.70","30.41M","-1.54%"
"08/30/2024","10,883.63","10,907.98","10,949.77","10,862.31","86.67M","-0.48%"
"08/29/2024","10,936.23","10,945.81","11,029.73","10,930.97","","-0.36%"
"08/28/2024","10,975.79","11,093.48","11,100.89","10,948.73","35.10M","-1.06%"
"08/27/2024","11,093.48","11,199.58","11,220.00","11,080.73","30.12M","-1.06%"
"08/26/2024","11,212.58","11,361.66","11,372.93","11,194.41","31.64M","-1.31%"
"08/23/2024","11,361.66","11,458.05","11,461.86","11,355.99","1.22B","-0.84%"
"08/22/2024","11,458.05","11,482.24","11,494.35","11,455.27","797.87M","-0.26%"
"08/21/2024","11,487.88","11,494.61","11,513.36","11,472.72","24.64M","-0.06%"
"08/20/2024","11,494.61","11,504.07","11,528.85","11,480.82","21.21M","-0.08%"
"08/19/2024","11,504.34","11,531.32","11,551.52","11,487.56","25.65M","0.00%"
"08/16/2024","11,504.34","11,531.32","11,551.52","11,487.56","25.65M","-0.27%"
"08/15/2024","11,535.28","11,413.71","11,562.49","11,413.71","30.89M","0.85%"
"08/14/2024","11,438.34","11,347.41","11,438.58","11,347.41","31.25M","0.75%"
"08/13/2024","11,353.31","11,312.48","11,358.35","11,305.24","16.91M","0.30%"
"08/12/2024","11,319.32","11,303.22","11,334.62","11,300.98","14.98M","0.03%"
"08/09/2024","11,315.65","11,253.89","11,337.70","11,253.89","","0.50%"
"08/08/2024","11,259.64","11,294.71","11,313.96","11,253.72","18.72M","-0.31%"
"08/07/2024","11,294.63","11,293.63","11,309.42","11,285.40","13.41M","-0.06%"
"08/06/2024","11,301.30","11,251.54","11,330.38","11,244.39","24.25M","0.42%"
"08/05/2024","11,254.40","11,442.60","11,459.10","11,241.20","45.76M","-1.64%"
