"Date","Price","Open","High","Low","Vol.","Change %"
"09/13/2024","152.00","153.00","155.00","152.00","14.78K","0.50%"
"09/12/2024","151.25","153.00","153.00","151.25","6.56K","-1.14%"
"09/11/2024","153.00","153.00","153.00","153.00","0.01K","0.33%"
"09/10/2024","152.50","153.00","153.00","152.00","3.34K","-0.33%"
"09/09/2024","153.00","157.50","157.50","153.00","20.30K","0.33%"
"09/06/2024","152.50","158.00","158.00","152.50","0.01K","0.33%"
"09/05/2024","152.00","152.25","152.25","151.00","2.85K","0.00%"
"09/04/2024","152.00","158.00","158.00","150.00","10.95K","0.66%"
"09/03/2024","151.00","152.00","152.00","150.50","10.94K","-4.43%"
"09/02/2024","158.00","161.00","161.00","150.00","11.54K","-1.86%"
"08/30/2024","161.00","160.00","161.00","157.00","7.75K","0.78%"
"08/29/2024","159.75","158.00","160.00","158.00","0.90K","1.11%"
"08/28/2024","158.00","160.25","160.25","157.75","4.15K","-0.94%"
"08/27/2024","159.50","160.00","160.00","159.50","0.62K","-0.31%"
"08/26/2024","160.00","160.00","162.00","160.00","2.86K","0.00%"
"08/23/2024","160.00","161.75","162.25","160.00","10.29K","-0.62%"
"08/22/2024","161.00","164.00","164.00","161.00","0.00K","-1.83%"
"08/21/2024","164.00","164.75","164.75","164.00","1.01K","2.50%"
"08/20/2024","160.00","159.50","164.75","159.50","7.73K","0.00%"
"08/16/2024","160.00","160.75","161.00","159.50","3.03K","-2.74%"
"08/15/2024","164.50","160.00","164.50","160.00","1.49K","2.81%"
"08/14/2024","160.00","161.00","161.00","160.00","4.74K","0.00%"
"08/13/2024","160.00","160.75","160.75","160.00","1.60K","0.00%"
"08/12/2024","160.00","160.00","165.00","160.00","4.60K","0.00%"
"08/09/2024","160.00","160.00","160.00","159.75","0.70K","0.16%"
"08/08/2024","159.75","162.50","162.50","159.75","5.15K","-0.16%"
"08/07/2024","160.00","163.00","163.00","160.00","4.62K","0.00%"
"08/06/2024","160.00","163.00","163.00","160.00","7.38K","-1.99%"
"08/05/2024","163.25","165.50","165.50","163.25","0.18K","-1.06%"
"08/02/2024","165.00","165.50","165.50","165.00","0.21K","0.00%"
"08/01/2024","165.00","165.50","165.50","165.00","1.23K","0.00%"
"07/31/2024","165.00","165.00","165.00","164.50","16.57K","1.23%"
"07/30/2024","163.00","165.00","168.00","163.00","7.62K","-0.76%"
"07/29/2024","164.25","164.00","165.00","164.00","0.23K","-2.23%"
"07/26/2024","168.00","165.50","168.25","164.25","2.84K","-0.44%"
"07/25/2024","168.75","167.00","168.75","167.00","1.51K","2.27%"
"07/24/2024","165.00","165.00","165.00","164.25","45.04K","0.00%"
"07/23/2024","165.00","165.00","165.00","165.00","0.34K","-1.20%"
"07/22/2024","167.00","164.00","167.00","164.00","0.02K","1.37%"
"07/19/2024","164.75","165.25","165.25","164.75","2.09K","-2.37%"
"07/18/2024","168.75","168.75","168.75","168.75","0.30K","2.27%"
"07/17/2024","165.00","165.50","165.50","165.00","7.06K","0.00%"
"07/16/2024","165.00","165.75","166.00","165.00","0.83K","-1.20%"
"07/15/2024","167.00","167.50","169.75","165.00","1.80K","-1.18%"
"07/12/2024","169.00","165.50","170.00","165.50","1.02K","2.42%"
"07/11/2024","165.00","165.50","166.00","165.00","21.17K","-0.30%"
"07/10/2024","165.50","166.00","166.50","165.25","4.19K","0.15%"
"07/09/2024","165.25","166.75","166.75","165.25","0.89K","-0.45%"
"07/08/2024","166.00","170.00","170.00","166.00","0.96K","-2.35%"
"07/05/2024","170.00","168.50","170.00","166.00","1.49K","2.72%"
"07/04/2024","165.50","170.00","170.00","165.00","19.71K","-2.65%"
"07/03/2024","170.00","171.00","171.00","169.50","10.43K","0.00%"
"07/02/2024","170.00","169.00","172.00","169.00","4.29K","0.89%"
"07/01/2024","168.50","172.00","172.00","168.50","6.10K","-2.32%"
"06/28/2024","172.50","174.00","174.00","170.00","3.84K","-0.86%"
"06/27/2024","174.00","172.00","175.00","172.00","0.87K","1.16%"
"06/26/2024","172.00","172.75","173.00","172.00","31.73K","-0.58%"
"06/25/2024","173.00","171.25","173.00","170.25","8.54K","-0.29%"
"06/24/2024","173.50","173.75","175.00","171.00","26.16K","-0.29%"
"06/20/2024","174.00","177.50","178.00","173.00","7.21K","-1.69%"
"06/19/2024","177.00","179.50","179.50","177.00","8.49K","-1.39%"
"06/18/2024","179.50","180.00","180.00","176.75","1.01K","0.84%"
"06/14/2024","178.00","177.25","178.00","177.00","9.24K","0.00%"
"06/13/2024","178.00","177.00","178.00","177.00","0.58K","0.56%"
"06/12/2024","177.00","179.50","179.50","176.75","4.68K","-1.39%"
"06/11/2024","179.50","177.00","179.50","177.00","0.28K","0.00%"
"06/10/2024","179.50","178.00","179.50","177.00","10.90K","0.84%"
"06/07/2024","178.00","178.50","178.50","178.00","8.88K","-0.84%"
"06/06/2024","179.50","180.00","180.00","179.50","6.01K","0.28%"
"06/05/2024","179.00","177.50","179.00","177.00","1.62K","0.85%"
"06/04/2024","177.50","180.00","180.00","177.50","0.01K","-0.70%"
"06/03/2024","178.75","178.00","179.00","177.50","0.33K","0.42%"
"05/31/2024","178.00","182.00","182.50","177.75","1.86K","0.14%"
"05/30/2024","177.75","181.00","182.00","177.75","14.06K","-0.70%"
"05/29/2024","179.00","183.00","183.00","178.00","5.93K","-1.92%"
"05/28/2024","182.50","185.00","185.00","182.50","0.12K","-1.08%"
"05/27/2024","184.50","185.00","185.00","184.50","6.97K","0.96%"
"05/22/2024","182.75","177.25","198.00","177.00","1.50K","2.96%"
"05/21/2024","177.50","177.00","177.50","177.00","3.11K","0.00%"
"05/20/2024","177.50","179.50","179.50","177.00","29.63K","-1.25%"
"05/17/2024","179.75","179.75","179.75","179.00","1.77K","-0.14%"
"05/16/2024","180.00","180.00","180.00","180.00","0.00K","1.69%"
"05/15/2024","177.00","178.25","180.00","177.00","16.24K","-1.67%"
"05/14/2024","180.00","180.00","180.00","178.00","14.83K","-1.10%"
"05/13/2024","182.00","182.50","182.50","179.25","1.76K","-0.27%"
"05/10/2024","182.50","179.75","182.50","179.75","20.77K","2.67%"
"05/09/2024","177.75","177.25","177.75","176.50","2.64K","-0.56%"
"05/08/2024","178.75","178.75","179.25","176.00","12.68K","-0.14%"
"05/07/2024","179.00","179.00","180.00","179.00","14.36K","-0.28%"
"05/06/2024","179.50","179.50","180.00","179.00","14.45K","0.00%"
"05/03/2024","179.50","180.00","182.00","179.50","5.90K","-0.28%"
"05/02/2024","180.00","181.00","181.50","180.00","4.12K","-2.17%"
"04/30/2024","184.00","181.50","184.50","178.00","20.30K","1.66%"
"04/29/2024","181.00","184.00","184.75","180.00","7.98K","0.00%"
"04/26/2024","181.00","184.75","186.00","180.00","21.05K","-0.14%"
"04/25/2024","181.25","183.00","185.00","181.00","1.55K","-1.76%"
