Date,Price,Source File
09/13/2024,152.0,BFL
09/12/2024,151.25,BFL
09/11/2024,153.0,BFL
09/10/2024,152.5,BFL
09/09/2024,153.0,BFL
09/06/2024,152.5,BFL
09/05/2024,152.0,BFL
09/04/2024,152.0,BFL
09/03/2024,151.0,BFL
09/02/2024,158.0,BFL
08/30/2024,161.0,BFL
08/29/2024,159.75,BFL
08/28/2024,158.0,BFL
08/27/2024,159.5,BFL
08/26/2024,160.0,BFL
08/23/2024,160.0,BFL
08/22/2024,161.0,BFL
08/21/2024,164.0,BFL
08/20/2024,160.0,BFL
08/16/2024,160.0,BFL
08/15/2024,164.5,BFL
08/14/2024,160.0,BFL
08/13/2024,160.0,BFL
08/12/2024,160.0,BFL
08/09/2024,160.0,BFL
08/08/2024,159.75,BFL
08/07/2024,160.0,BFL
08/06/2024,160.0,BFL
08/05/2024,163.25,BFL
08/02/2024,165.0,BFL
08/01/2024,165.0,BFL
07/31/2024,165.0,BFL
07/30/2024,163.0,BFL
07/29/2024,164.25,BFL
07/26/2024,168.0,BFL
07/25/2024,168.75,BFL
07/24/2024,165.0,BFL
07/23/2024,165.0,BFL
07/22/2024,167.0,BFL
07/19/2024,164.75,BFL
07/18/2024,168.75,BFL
07/17/2024,165.0,BFL
07/16/2024,165.0,BFL
07/15/2024,167.0,BFL
07/12/2024,169.0,BFL
07/11/2024,165.0,BFL
07/10/2024,165.5,BFL
07/09/2024,165.25,BFL
07/08/2024,166.0,BFL
07/05/2024,170.0,BFL
07/04/2024,165.5,BFL
07/03/2024,170.0,BFL
07/02/2024,170.0,BFL
07/01/2024,168.5,BFL
06/28/2024,172.5,BFL
06/27/2024,174.0,BFL
06/26/2024,172.0,BFL
06/25/2024,173.0,BFL
06/24/2024,173.5,BFL
06/20/2024,174.0,BFL
06/19/2024,177.0,BFL
06/18/2024,179.5,BFL
06/14/2024,178.0,BFL
06/13/2024,178.0,BFL
06/12/2024,177.0,BFL
06/11/2024,179.5,BFL
06/10/2024,179.5,BFL
06/07/2024,178.0,BFL
06/06/2024,179.5,BFL
06/05/2024,179.0,BFL
06/04/2024,177.5,BFL
06/03/2024,178.75,BFL
05/31/2024,178.0,BFL
05/30/2024,177.75,BFL
05/29/2024,179.0,BFL
05/28/2024,182.5,BFL
05/27/2024,184.5,BFL
05/22/2024,182.75,BFL
05/21/2024,177.5,BFL
05/20/2024,177.5,BFL
05/17/2024,179.75,BFL
05/16/2024,180.0,BFL
05/15/2024,177.0,BFL
05/14/2024,180.0,BFL
05/13/2024,182.0,BFL
05/10/2024,182.5,BFL
05/09/2024,177.75,BFL
05/08/2024,178.75,BFL
05/07/2024,179.0,BFL
05/06/2024,179.5,BFL
05/03/2024,179.5,BFL
05/02/2024,180.0,BFL
04/30/2024,184.0,BFL
04/29/2024,181.0,BFL
04/26/2024,181.0,BFL
04/25/2024,181.25,BFL
04/24/2024,184.5,BFL
04/22/2024,175.0,BFL
04/19/2024,176.5,BFL
04/18/2024,177.0,BFL
04/17/2024,179.75,BFL
04/16/2024,174.75,BFL
04/15/2024,175.0,BFL
04/10/2024,177.25,BFL
04/09/2024,177.25,BFL
04/08/2024,181.0,BFL
04/05/2024,180.0,BFL
04/04/2024,178.0,BFL
04/03/2024,173.0,BFL
04/02/2024,170.5,BFL
04/01/2024,171.0,BFL
03/28/2024,173.0,BFL
03/27/2024,174.75,BFL
03/26/2024,175.0,BFL
03/25/2024,174.0,BFL
03/22/2024,176.0,BFL
03/21/2024,174.25,BFL
03/20/2024,172.5,BFL
03/19/2024,169.5,BFL
03/18/2024,167.0,BFL
03/15/2024,165.0,BFL
03/14/2024,165.0,BFL
03/13/2024,167.0,BFL
03/12/2024,167.0,BFL
03/11/2024,165.0,BFL
03/07/2024,163.5,BFL
03/06/2024,164.0,BFL
03/05/2024,163.0,BFL
03/04/2024,165.0,BFL
03/01/2024,165.0,BFL
02/29/2024,165.25,BFL
02/28/2024,166.5,BFL
02/27/2024,167.5,BFL
02/26/2024,168.0,BFL
02/22/2024,165.75,BFL
02/21/2024,169.0,BFL
02/20/2024,169.5,BFL
02/19/2024,161.0,BFL
02/16/2024,160.5,BFL
02/15/2024,161.25,BFL
02/14/2024,163.5,BFL
02/13/2024,163.25,BFL
02/12/2024,165.0,BFL
02/09/2024,163.0,BFL
02/08/2024,165.0,BFL
02/07/2024,167.0,BFL
02/06/2024,168.75,BFL
02/02/2024,170.0,BFL
02/01/2024,167.0,BFL
01/31/2024,170.25,BFL
01/30/2024,174.0,BFL
01/29/2024,175.0,BFL
01/26/2024,176.75,BFL
01/24/2024,176.75,BFL
01/23/2024,175.5,BFL
01/22/2024,178.0,BFL
01/19/2024,179.0,BFL
01/18/2024,175.0,BFL
01/17/2024,175.0,BFL
01/16/2024,177.0,BFL
01/12/2024,178.0,BFL
01/11/2024,174.75,BFL
01/10/2024,179.0,BFL
01/09/2024,177.0,BFL
01/08/2024,180.0,BFL
01/05/2024,180.0,BFL
01/04/2024,181.0,BFL
01/03/2024,181.0,BFL
01/02/2024,184.0,BFL
