"Date","Price","Open","High","Low","Vol.","Change %"
"09/13/2024","104.00","104.50","104.50","104.00","3.57K","1.96%"
"09/12/2024","102.00","103.00","103.00","102.00","17.96K","-0.49%"
"09/11/2024","102.50","103.00","103.00","102.50","0.02K","-0.49%"
"09/10/2024","103.00","103.00","103.00","101.75","11.86K","0.49%"
"09/09/2024","102.50","107.75","107.75","102.50","32.85K","-0.49%"
"09/06/2024","103.00","107.25","107.25","103.00","32.20K","-2.83%"
"09/05/2024","106.00","105.00","109.00","103.00","21.65K","2.91%"
"09/04/2024","103.00","103.00","105.00","101.00","61.43K","0.00%"
"09/03/2024","103.00","102.75","103.00","100.50","33.21K","0.00%"
"09/02/2024","103.00","105.00","105.00","103.00","47.14K","-0.24%"
"08/30/2024","103.25","104.00","104.00","103.00","84.84K","-0.48%"
"08/29/2024","103.75","104.00","104.00","103.50","6.21K","1.47%"
"08/28/2024","102.25","103.00","104.00","100.25","94.24K","-0.73%"
"08/27/2024","103.00","107.75","107.75","101.00","31.79K","-2.83%"
"08/26/2024","106.00","108.00","108.00","106.00","28.27K","-1.17%"
"08/23/2024","107.25","108.00","108.00","106.00","10.43K","-0.69%"
"08/22/2024","108.00","109.00","109.00","106.50","3.90K","-0.46%"
"08/21/2024","108.50","110.00","110.00","108.00","0.98K","0.00%"
"08/20/2024","108.50","110.00","110.00","108.50","5.01K","-0.46%"
"08/16/2024","109.00","111.00","111.00","109.00","5.31K","-2.24%"
"08/15/2024","111.50","109.00","113.00","109.00","7.24K","3.24%"
"08/14/2024","108.00","108.00","110.00","108.00","11.01K","0.00%"
"08/13/2024","108.00","107.00","108.75","106.50","6.54K","0.93%"
"08/12/2024","107.00","107.50","108.00","106.00","0.63K","0.47%"
"08/09/2024","106.50","104.25","106.50","104.25","10.34K","0.00%"
"08/08/2024","106.50","107.75","107.75","105.00","15.86K","-1.39%"
"08/07/2024","108.00","108.00","108.00","105.00","8.02K","0.00%"
"08/06/2024","108.00","108.00","109.50","105.00","225.37K","0.93%"
"08/05/2024","107.00","114.00","114.00","104.75","45.47K","-0.70%"
"08/02/2024","107.75","109.00","120.00","107.00","15.57K","-0.23%"
"08/01/2024","108.00","107.75","108.00","107.75","3.06K","0.47%"
"07/31/2024","107.50","107.00","108.50","105.00","145.20K","0.70%"
"07/30/2024","106.75","106.00","107.75","105.00","50.60K","-0.93%"
"07/29/2024","107.75","107.75","107.75","106.00","4.77K","0.00%"
"07/26/2024","107.75","108.50","108.50","106.50","35.57K","-0.23%"
"07/25/2024","108.00","109.50","110.00","107.00","24.80K","-1.82%"
"07/24/2024","110.00","110.00","111.50","106.50","107.73K","3.77%"
"07/23/2024","106.00","106.00","109.75","106.00","11.96K","0.00%"
"07/22/2024","106.00","112.50","112.50","106.00","53.89K","-2.75%"
"07/19/2024","109.00","111.00","111.00","109.00","2.11K","-0.23%"
"07/18/2024","109.25","111.75","114.00","109.25","78.06K","-3.32%"
"07/17/2024","113.00","112.00","114.50","112.00","2.18K","0.89%"
"07/16/2024","112.00","114.00","115.75","112.00","7.25K","-1.75%"
"07/15/2024","114.00","113.75","114.00","112.00","29.72K","0.22%"
"07/12/2024","113.75","114.00","114.00","111.75","1.31K","-1.30%"
"07/11/2024","115.25","116.00","116.00","111.00","1.01K","5.73%"
"07/10/2024","109.00","116.00","116.00","109.00","21.18K","-0.91%"
"07/09/2024","110.00","111.00","111.00","110.00","28.26K","0.00%"
"07/08/2024","110.00","116.75","116.75","110.00","18.92K","-3.51%"
"07/05/2024","114.00","117.00","117.00","110.00","1.91K","-0.44%"
"07/04/2024","114.50","118.00","118.00","112.00","24.87K","0.44%"
"07/03/2024","114.00","118.00","118.00","114.00","16.13K","-3.59%"
"07/02/2024","118.25","115.50","118.25","114.50","57.13K","1.07%"
"07/01/2024","117.00","120.00","121.50","115.25","5.27K","-2.50%"
"06/28/2024","120.00","116.50","120.00","116.25","28.33K","3.45%"
"06/27/2024","116.00","120.00","122.00","116.00","182.66K","-3.33%"
"06/26/2024","120.00","118.50","122.75","117.75","100.22K","1.69%"
"06/25/2024","118.00","118.50","118.50","117.75","37.16K","-0.42%"
"06/24/2024","118.50","119.00","119.50","118.00","26.14K","-0.21%"
"06/20/2024","118.75","119.50","119.50","118.00","28.94K","-0.21%"
"06/19/2024","119.00","119.50","119.50","118.75","17.14K","-0.42%"
"06/18/2024","119.50","120.50","122.75","118.75","16.36K","-0.83%"
"06/14/2024","120.50","123.00","123.00","120.00","10.82K","-1.03%"
"06/13/2024","121.75","122.50","122.50","120.00","12.57K","-0.20%"
"06/12/2024","122.00","123.75","123.75","120.00","54.48K","-0.81%"
"06/11/2024","123.00","124.00","124.75","120.00","20.33K","-0.81%"
"06/10/2024","124.00","125.00","125.00","123.00","19.82K","0.81%"
"06/07/2024","123.00","125.00","126.00","121.00","31.81K","-0.40%"
"06/06/2024","123.50","122.00","125.00","121.75","182.14K","2.28%"
"06/05/2024","120.75","121.75","123.00","119.00","16.34K","0.84%"
"06/04/2024","119.75","118.50","122.00","118.25","81.60K","1.05%"
"06/03/2024","118.50","119.50","119.50","118.25","24.16K","-0.84%"
