Date,Price,Source File
09/13/2024,13.0,EXPA
09/12/2024,12.7,EXPA
09/11/2024,12.7,EXPA
09/10/2024,12.7,EXPA
09/09/2024,12.8,EXPA
09/06/2024,12.9,EXPA
09/05/2024,12.8,EXPA
09/04/2024,12.9,EXPA
09/03/2024,12.8,EXPA
09/02/2024,13.0,EXPA
08/30/2024,13.0,EXPA
08/29/2024,13.3,EXPA
08/28/2024,13.3,EXPA
08/27/2024,13.3,EXPA
08/26/2024,13.5,EXPA
08/23/2024,13.5,EXPA
08/22/2024,13.6,EXPA
08/21/2024,13.7,EXPA
08/20/2024,13.5,EXPA
08/16/2024,13.6,EXPA
08/15/2024,13.2,EXPA
08/14/2024,13.1,EXPA
08/13/2024,13.0,EXPA
08/12/2024,13.0,EXPA
08/09/2024,13.0,EXPA
08/08/2024,13.0,EXPA
08/07/2024,13.2,EXPA
08/06/2024,13.2,EXPA
08/05/2024,13.2,EXPA
08/02/2024,13.3,EXPA
08/01/2024,13.3,EXPA
07/31/2024,13.1,EXPA
07/30/2024,13.5,EXPA
07/29/2024,13.4,EXPA
07/26/2024,13.3,EXPA
07/25/2024,13.3,EXPA
07/24/2024,13.2,EXPA
07/23/2024,13.2,EXPA
07/22/2024,13.1,EXPA
07/19/2024,13.4,EXPA
07/18/2024,13.4,EXPA
07/17/2024,13.5,EXPA
07/16/2024,13.5,EXPA
07/15/2024,13.4,EXPA
07/12/2024,13.3,EXPA
07/11/2024,13.3,EXPA
07/10/2024,13.4,EXPA
07/09/2024,13.5,EXPA
07/08/2024,13.5,EXPA
07/05/2024,13.5,EXPA
07/04/2024,13.5,EXPA
07/03/2024,13.7,EXPA
07/02/2024,13.8,EXPA
07/01/2024,13.8,EXPA
06/28/2024,13.9,EXPA
06/27/2024,13.8,EXPA
06/26/2024,14.1,EXPA
06/25/2024,14.2,EXPA
06/24/2024,14.4,EXPA
06/20/2024,14.3,EXPA
06/19/2024,14.5,EXPA
06/18/2024,14.4,EXPA
06/14/2024,14.5,EXPA
06/13/2024,14.6,EXPA
06/12/2024,14.5,EXPA
06/11/2024,14.5,EXPA
06/10/2024,14.6,EXPA
06/07/2024,14.4,EXPA
06/06/2024,14.5,EXPA
06/05/2024,14.3,EXPA
06/04/2024,14.3,EXPA
06/03/2024,14.2,EXPA
05/31/2024,14.4,EXPA
05/30/2024,14.1,EXPA
05/29/2024,14.4,EXPA
05/28/2024,14.4,EXPA
05/27/2024,14.9,EXPA
05/22/2024,14.9,EXPA
05/21/2024,14.9,EXPA
05/20/2024,14.8,EXPA
05/17/2024,15.1,EXPA
05/16/2024,15.0,EXPA
05/15/2024,14.8,EXPA
05/14/2024,14.8,EXPA
05/13/2024,15.1,EXPA
05/10/2024,15.3,EXPA
05/09/2024,15.2,EXPA
05/08/2024,15.3,EXPA
05/07/2024,15.5,EXPA
05/06/2024,15.3,EXPA
05/03/2024,14.6,EXPA
05/02/2024,14.6,EXPA
04/30/2024,14.6,EXPA
04/29/2024,14.5,EXPA
04/26/2024,14.6,EXPA
04/25/2024,14.2,EXPA
04/24/2024,14.1,EXPA
04/22/2024,14.1,EXPA
04/19/2024,14.1,EXPA
04/18/2024,14.2,EXPA
04/17/2024,14.2,EXPA
04/16/2024,14.0,EXPA
04/15/2024,14.4,EXPA
04/10/2024,14.6,EXPA
04/09/2024,14.2,EXPA
04/08/2024,13.9,EXPA
04/05/2024,13.9,EXPA
04/04/2024,14.0,EXPA
04/03/2024,14.1,EXPA
04/02/2024,14.1,EXPA
04/01/2024,14.2,EXPA
03/28/2024,14.3,EXPA
03/27/2024,14.0,EXPA
03/26/2024,13.9,EXPA
03/25/2024,13.2,EXPA
03/22/2024,13.0,EXPA
03/21/2024,12.8,EXPA
03/20/2024,12.9,EXPA
03/19/2024,13.1,EXPA
03/18/2024,13.0,EXPA
03/15/2024,13.1,EXPA
03/14/2024,12.9,EXPA
03/13/2024,13.2,EXPA
03/12/2024,13.3,EXPA
03/11/2024,12.7,EXPA
03/07/2024,12.6,EXPA
03/06/2024,13.0,EXPA
03/05/2024,13.0,EXPA
03/04/2024,12.2,EXPA
03/01/2024,12.2,EXPA
02/29/2024,12.1,EXPA
02/28/2024,11.9,EXPA
02/27/2024,11.9,EXPA
02/26/2024,11.9,EXPA
02/22/2024,11.9,EXPA
02/21/2024,12.0,EXPA
02/20/2024,12.1,EXPA
02/19/2024,12.1,EXPA
02/16/2024,12.2,EXPA
02/15/2024,12.0,EXPA
02/14/2024,12.2,EXPA
02/13/2024,12.2,EXPA
02/12/2024,12.0,EXPA
02/09/2024,12.2,EXPA
02/08/2024,12.2,EXPA
02/07/2024,12.3,EXPA
02/06/2024,12.2,EXPA
02/02/2024,12.2,EXPA
02/01/2024,12.4,EXPA
01/31/2024,12.2,EXPA
01/30/2024,12.3,EXPA
01/29/2024,12.3,EXPA
01/26/2024,12.2,EXPA
01/24/2024,12.2,EXPA
01/23/2024,12.2,EXPA
01/22/2024,12.2,EXPA
01/19/2024,12.5,EXPA
01/18/2024,12.2,EXPA
01/17/2024,12.5,EXPA
01/16/2024,12.2,EXPA
01/12/2024,12.4,EXPA
01/11/2024,12.5,EXPA
01/10/2024,12.6,EXPA
01/09/2024,12.5,EXPA
01/08/2024,12.8,EXPA
01/05/2024,12.7,EXPA
01/04/2024,12.8,EXPA
01/03/2024,12.7,EXPA
01/02/2024,12.8,EXPA
