Date,Price,Source File
09/13/2024,26.8,GLAS
09/12/2024,26.9,GLAS
09/11/2024,26.5,GLAS
09/10/2024,26.5,GLAS
09/09/2024,26.9,GLAS
09/06/2024,26.4,GLAS
09/05/2024,26.3,GLAS
09/04/2024,26.8,GLAS
09/03/2024,26.1,GLAS
09/02/2024,26.4,GLAS
08/30/2024,27.0,GLAS
08/29/2024,27.0,GLAS
08/28/2024,26.6,GLAS
08/27/2024,26.7,GLAS
08/26/2024,27.0,GLAS
08/23/2024,27.1,GLAS
08/22/2024,27.4,GLAS
08/21/2024,27.0,GLAS
08/20/2024,28.2,GLAS
08/16/2024,27.1,GLAS
08/15/2024,27.6,GLAS
08/14/2024,27.6,GLAS
08/13/2024,27.5,GLAS
08/12/2024,27.9,GLAS
08/09/2024,27.6,GLAS
08/08/2024,28.0,GLAS
08/07/2024,27.9,GLAS
08/06/2024,27.5,GLAS
08/05/2024,27.7,GLAS
08/02/2024,28.1,GLAS
08/01/2024,28.1,GLAS
07/31/2024,28.0,GLAS
07/30/2024,28.2,GLAS
07/29/2024,28.2,GLAS
07/26/2024,29.4,GLAS
07/25/2024,29.0,GLAS
07/24/2024,29.5,GLAS
07/23/2024,29.3,GLAS
07/22/2024,29.0,GLAS
07/19/2024,29.1,GLAS
07/18/2024,29.1,GLAS
07/17/2024,29.3,GLAS
07/16/2024,29.1,GLAS
07/15/2024,29.2,GLAS
07/12/2024,29.2,GLAS
07/11/2024,29.0,GLAS
07/10/2024,28.7,GLAS
07/09/2024,28.7,GLAS
07/08/2024,29.0,GLAS
07/05/2024,28.9,GLAS
07/04/2024,28.8,GLAS
07/03/2024,29.0,GLAS
07/02/2024,28.8,GLAS
07/01/2024,29.1,GLAS
06/28/2024,29.4,GLAS
06/27/2024,29.2,GLAS
06/26/2024,29.0,GLAS
06/25/2024,29.0,GLAS
06/24/2024,29.0,GLAS
06/20/2024,29.2,GLAS
06/19/2024,29.1,GLAS
06/18/2024,29.4,GLAS
06/14/2024,28.9,GLAS
06/13/2024,28.8,GLAS
06/12/2024,29.0,GLAS
06/11/2024,28.6,GLAS
06/10/2024,28.5,GLAS
06/07/2024,28.6,GLAS
06/06/2024,28.8,GLAS
06/05/2024,28.4,GLAS
06/04/2024,29.0,GLAS
06/03/2024,28.7,GLAS
05/31/2024,28.8,GLAS
05/30/2024,28.9,GLAS
05/29/2024,28.9,GLAS
05/28/2024,29.0,GLAS
05/27/2024,29.5,GLAS
05/22/2024,28.8,GLAS
05/21/2024,29.0,GLAS
05/20/2024,28.7,GLAS
05/17/2024,29.0,GLAS
05/16/2024,28.4,GLAS
05/15/2024,28.7,GLAS
05/14/2024,29.0,GLAS
05/13/2024,29.3,GLAS
05/10/2024,29.0,GLAS
05/09/2024,28.5,GLAS
05/08/2024,29.0,GLAS
05/07/2024,29.0,GLAS
05/06/2024,29.0,GLAS
05/03/2024,29.0,GLAS
05/02/2024,29.2,GLAS
04/30/2024,29.0,GLAS
04/29/2024,28.8,GLAS
04/26/2024,29.0,GLAS
04/25/2024,29.0,GLAS
04/24/2024,29.0,GLAS
04/22/2024,29.0,GLAS
04/19/2024,28.1,GLAS
04/18/2024,28.2,GLAS
04/17/2024,28.0,GLAS
04/16/2024,28.9,GLAS
04/15/2024,29.0,GLAS
04/10/2024,29.2,GLAS
04/09/2024,29.2,GLAS
04/08/2024,29.5,GLAS
04/05/2024,29.6,GLAS
04/04/2024,29.5,GLAS
04/03/2024,29.5,GLAS
04/02/2024,29.5,GLAS
04/01/2024,29.5,GLAS
03/28/2024,29.8,GLAS
03/27/2024,29.8,GLAS
03/26/2024,29.6,GLAS
03/25/2024,29.5,GLAS
03/22/2024,29.5,GLAS
03/21/2024,29.5,GLAS
03/20/2024,29.0,GLAS
03/19/2024,28.5,GLAS
03/18/2024,28.3,GLAS
03/15/2024,28.3,GLAS
03/14/2024,27.2,GLAS
03/13/2024,27.2,GLAS
03/12/2024,27.3,GLAS
03/11/2024,27.5,GLAS
03/07/2024,26.9,GLAS
03/06/2024,26.5,GLAS
03/05/2024,26.5,GLAS
03/04/2024,26.1,GLAS
03/01/2024,26.0,GLAS
02/29/2024,26.2,GLAS
02/28/2024,26.0,GLAS
02/27/2024,26.7,GLAS
02/26/2024,26.2,GLAS
02/22/2024,26.2,GLAS
02/21/2024,27.0,GLAS
02/20/2024,27.0,GLAS
02/19/2024,26.0,GLAS
02/16/2024,26.1,GLAS
02/15/2024,26.8,GLAS
02/14/2024,26.8,GLAS
02/13/2024,27.0,GLAS
02/12/2024,26.7,GLAS
02/09/2024,26.6,GLAS
02/08/2024,26.7,GLAS
02/07/2024,27.5,GLAS
02/06/2024,26.8,GLAS
02/02/2024,26.7,GLAS
02/01/2024,27.1,GLAS
01/31/2024,27.8,GLAS
01/30/2024,27.0,GLAS
01/29/2024,27.0,GLAS
01/26/2024,27.3,GLAS
01/24/2024,27.1,GLAS
01/23/2024,28.1,GLAS
01/22/2024,28.5,GLAS
01/19/2024,28.4,GLAS
01/18/2024,28.0,GLAS
01/17/2024,28.0,GLAS
01/16/2024,28.0,GLAS
01/12/2024,28.0,GLAS
01/11/2024,27.9,GLAS
01/10/2024,27.7,GLAS
01/09/2024,27.2,GLAS
01/08/2024,27.4,GLAS
01/05/2024,28.1,GLAS
01/04/2024,28.0,GLAS
01/03/2024,27.5,GLAS
01/02/2024,27.6,GLAS
