"Date","Price","Open","High","Low","Vol.","Change %"
"09/13/2024","75.50","75.50","75.50","73.80","29.08K","1.34%"
"09/12/2024","74.50","74.50","75.40","73.70","10.24K","-1.97%"
"09/11/2024","76.00","75.90","77.80","73.60","22.22K","0.13%"
"09/10/2024","75.90","75.10","76.00","74.00","5.29K","-0.13%"
"09/09/2024","76.00","77.00","77.80","76.00","2.31K","-2.19%"
"09/06/2024","77.70","74.00","77.70","74.00","1.42K","2.24%"
"09/05/2024","76.00","75.40","76.00","73.20","11.53K","1.33%"
"09/04/2024","75.00","74.40","75.00","74.20","7.18K","0.81%"
"09/03/2024","74.40","74.00","75.00","73.00","33.00K","-0.80%"
"09/02/2024","75.00","75.10","76.00","74.00","28.87K","-1.19%"
"08/30/2024","75.90","76.00","76.00","75.60","8.65K","0.53%"
"08/29/2024","75.50","74.70","76.50","74.70","4.24K","0.67%"
"08/28/2024","75.00","75.80","75.90","74.80","10.97K","-1.19%"
"08/27/2024","75.90","75.90","77.00","75.00","13.65K","-0.65%"
"08/26/2024","76.40","76.30","76.40","75.20","12.00K","-1.42%"
"08/23/2024","77.50","78.00","78.00","77.00","30.37K","-0.39%"
"08/22/2024","77.80","77.90","78.00","77.70","4.34K","-0.26%"
"08/21/2024","78.00","78.20","78.40","77.90","99.35K","-0.51%"
"08/20/2024","78.40","76.00","78.40","76.00","135.43K","4.39%"
"08/16/2024","75.10","77.00","77.00","75.00","7.98K","-3.72%"
"08/15/2024","78.00","77.80","79.00","76.50","13.87K","4.00%"
"08/14/2024","75.00","77.30","77.30","74.50","39.11K","-0.66%"
"08/13/2024","75.50","76.70","77.60","75.50","119.71K","-1.95%"
"08/12/2024","77.00","76.00","77.80","76.00","48.08K","0.52%"
"08/09/2024","76.60","76.60","77.90","76.00","6.53K","-0.52%"
"08/08/2024","77.00","77.80","77.80","76.90","182.09K","-0.77%"
"08/07/2024","77.60","78.50","78.50","77.20","97.63K","-1.15%"
"08/06/2024","78.50","78.50","79.00","78.10","15.97K","-0.63%"
"08/05/2024","79.00","79.00","79.00","78.10","12.29K","-0.13%"
"08/02/2024","79.10","79.00","80.00","79.00","9.90K","0.13%"
"08/01/2024","79.00","79.80","80.00","79.00","116.33K","-0.63%"
"07/31/2024","79.50","79.40","79.80","78.70","19.60K","0.13%"
"07/30/2024","79.40","79.80","80.00","79.00","73.72K","-0.63%"
"07/29/2024","79.90","79.70","79.90","79.00","27.26K","0.38%"
"07/26/2024","79.60","79.60","79.60","78.50","12.75K","0.13%"
"07/25/2024","79.50","79.60","79.60","79.50","84.59K","0.51%"
"07/24/2024","79.10","79.40","79.70","79.10","165.74K","0.13%"
"07/23/2024","79.00","79.40","79.40","79.00","22.61K","-0.63%"
"07/22/2024","79.50","78.00","79.50","78.00","169.33K","0.25%"
"07/19/2024","79.30","79.30","79.90","79.00","78.16K","-0.13%"
"07/18/2024","79.40","77.70","80.00","77.70","144.18K","0.00%"
"07/17/2024","79.40","78.50","79.50","77.60","76.89K","-0.13%"
"07/16/2024","79.50","79.00","79.60","78.50","1.01K","0.25%"
"07/15/2024","79.30","79.00","79.50","79.00","6.91K","0.38%"
"07/12/2024","79.00","71.00","79.00","71.00","18.06K","1.28%"
"07/11/2024","78.00","79.00","79.00","77.80","39.37K","-1.89%"
"07/10/2024","79.50","79.30","80.00","78.00","3.17K","0.76%"
"07/09/2024","78.90","78.00","79.40","78.00","7.93K","-0.88%"
"07/08/2024","79.60","80.90","80.90","79.00","3.37K","-1.36%"
"07/05/2024","80.70","78.90","81.00","78.00","203.48K","2.28%"
"07/04/2024","78.90","80.00","80.80","78.20","90.01K","-0.13%"
"07/03/2024","79.00","80.00","80.80","79.00","225.39K","-1.37%"
"07/02/2024","80.10","80.00","80.90","80.00","23.97K","-0.87%"
"07/01/2024","80.80","81.00","81.00","79.60","47.86K","0.37%"
"06/28/2024","80.50","80.50","81.40","80.00","220.55K","0.00%"
"06/27/2024","80.50","82.50","82.50","80.30","54.16K","-1.59%"
"06/26/2024","81.80","81.80","82.90","81.10","102.49K","0.12%"
"06/25/2024","81.70","83.00","83.00","81.50","89.45K","-2.04%"
"06/24/2024","83.40","82.00","83.60","81.60","343.77K","1.58%"
"06/20/2024","82.10","80.70","82.20","80.00","49.07K","2.11%"
"06/19/2024","80.40","80.80","80.80","80.00","9.18K","-0.50%"
"06/18/2024","80.80","82.00","82.30","80.00","34.42K","-0.62%"
"06/14/2024","81.30","82.10","82.60","81.30","63.27K","-0.85%"
"06/13/2024","82.00","82.90","83.00","82.00","70.96K","-0.61%"
"06/12/2024","82.50","83.00","84.20","82.00","112.30K","-0.84%"
"06/11/2024","83.20","81.80","84.40","81.70","472.93K","1.09%"
"06/10/2024","82.30","80.30","82.30","80.30","171.35K","2.88%"
"06/07/2024","80.00","80.00","80.50","79.50","57.02K","0.00%"
"06/06/2024","80.00","80.00","80.50","79.00","141.57K","-0.74%"
"06/05/2024","80.60","80.50","81.50","80.50","104.45K","0.12%"
"06/04/2024","80.50","78.80","80.90","78.80","131.68K","1.90%"
"06/03/2024","79.00","79.20","79.20","78.70","55.14K","0.00%"
"05/31/2024","79.00","79.50","79.60","79.00","112.71K","0.00%"
"05/30/2024","79.00","79.80","80.00","79.00","125.72K","-0.63%"
"05/29/2024","79.50","78.50","79.90","78.50","131.88K","1.15%"
"05/28/2024","78.60","78.40","79.00","78.40","39.44K","0.13%"
"05/27/2024","78.50","79.00","79.00","78.30","52.91K","-0.76%"
"05/22/2024","79.10","77.00","79.50","77.00","73.05K","2.46%"
"05/21/2024","77.20","77.60","77.80","77.00","102.37K","-0.64%"
"05/20/2024","77.70","78.20","78.50","77.60","86.30K","-0.38%"
"05/17/2024","78.00","76.20","79.00","76.10","1.00M","2.63%"
"05/16/2024","76.00","77.00","77.50","76.00","43.36K","0.00%"
"05/15/2024","76.00","76.50","78.20","76.00","77.81K","-0.65%"
"05/14/2024","76.50","77.40","77.50","75.10","82.13K","-1.29%"
"05/13/2024","77.50","77.50","78.00","77.40","14.97K","0.00%"
"05/10/2024","77.50","77.50","78.00","77.50","12.26K","-0.77%"
"05/09/2024","78.10","78.90","79.00","77.50","289.98K","-1.14%"
"05/08/2024","79.00","77.90","79.10","77.70","769.34K","1.28%"
"05/07/2024","78.00","75.00","78.00","75.00","236.23K","4.00%"
"05/06/2024","75.00","75.00","75.00","73.00","48.40K","0.00%"
"05/03/2024","75.00","75.00","75.40","74.70","12.35K","-0.13%"
"05/02/2024","75.10","75.00","76.50","75.00","28.38K","-0.13%"
"04/30/2024","75.20","76.00","76.60","74.50","116.09K","-1.18%"
"04/29/2024","76.10","74.00","76.90","74.00","61.53K","2.84%"
"04/26/2024","74.00","74.00","74.50","73.00","30.48K","0.00%"
"04/25/2024","74.00","74.50","74.70","74.00","16.89K","-0.67%"
"04/24/2024","74.50","73.90","75.00","73.80","101.79K","1.36%"
"04/22/2024","73.50","72.50","74.00","72.00","37.30K","1.66%"
"04/19/2024","72.30","73.00","73.00","70.10","50.44K","-1.23%"
"04/18/2024","73.20","74.00","74.00","72.90","19.16K","-1.08%"
"04/17/2024","74.00","74.00","74.00","73.00","23.04K","0.00%"
"04/16/2024","74.00","73.50","74.00","72.30","44.20K","0.68%"
"04/15/2024","73.50","75.10","75.10","73.50","36.91K","-2.00%"
"04/10/2024","75.00","74.50","75.00","73.50","29.96K","0.67%"
"04/09/2024","74.50","73.90","74.50","73.30","48.99K","0.13%"
"04/08/2024","74.40","74.20","75.70","74.10","99.32K","-0.67%"
"04/05/2024","74.90","75.90","75.90","73.80","32.23K","-0.79%"
"04/04/2024","75.50","75.50","75.50","73.20","25.62K","-0.13%"
"04/03/2024","75.60","76.00","76.10","75.60","12.96K","-1.18%"
"04/02/2024","76.50","76.40","77.00","76.00","62.09K","-0.26%"
"04/01/2024","76.70","76.90","76.90","76.30","34.93K","0.26%"
"03/28/2024","76.50","76.50","76.90","76.30","21.28K","-0.13%"
"03/27/2024","76.60","76.50","76.90","76.20","45.47K","0.13%"
"03/26/2024","76.50","76.10","77.20","76.10","27.78K","0.53%"
"03/25/2024","76.10","77.50","77.60","76.00","44.38K","-1.81%"
"03/22/2024","77.50","76.50","77.60","76.50","120.22K","1.31%"
"03/21/2024","76.50","77.00","77.40","76.50","36.92K","-0.65%"
"03/20/2024","77.00","76.20","77.20","76.20","87.71K","1.58%"
"03/19/2024","75.80","76.50","76.50","75.50","32.81K","0.26%"
"03/18/2024","75.60","76.60","77.40","75.50","82.85K","-1.18%"
"03/15/2024","76.50","77.00","77.30","75.00","137.35K","-0.78%"
"03/14/2024","77.10","78.50","78.50","77.00","121.77K","-1.66%"
"03/13/2024","78.40","78.00","79.00","78.00","237.53K","-0.76%"
"03/12/2024","79.00","78.70","79.10","78.10","444.00K","1.02%"
"03/11/2024","78.20","77.90","78.90","77.00","241.04K","0.26%"
"03/07/2024","78.00","75.30","78.00","75.00","566.78K","3.59%"
"03/06/2024","75.30","74.90","75.40","74.00","156.45K","1.76%"
"03/05/2024","74.00","73.50","74.80","72.50","302.71K","1.37%"
"03/04/2024","73.00","72.70","73.60","72.00","78.29K","-0.68%"
"03/01/2024","73.50","72.00","74.00","71.90","214.15K","2.08%"
"02/29/2024","72.00","71.50","72.00","71.00","38.91K","0.00%"
"02/28/2024","72.00","71.20","73.00","71.20","98.99K","2.86%"
"02/27/2024","70.00","71.00","71.00","70.00","17.29K","0.00%"
"02/26/2024","70.00","72.20","72.20","69.30","102.04K","-2.78%"
"02/22/2024","72.00","70.00","72.50","69.00","392.37K","2.86%"
"02/21/2024","70.00","68.50","70.00","68.00","37.18K","0.86%"
"02/20/2024","69.40","69.50","69.50","68.00","22.10K","0.58%"
"02/19/2024","69.00","67.20","69.40","67.00","107.29K","2.22%"
"02/16/2024","67.50","67.50","68.50","67.00","15.24K","-1.46%"
"02/15/2024","68.50","69.80","69.80","66.70","108.61K","0.74%"
"02/14/2024","68.00","70.70","70.70","68.00","91.61K","-2.16%"
"02/13/2024","69.50","69.00","70.70","68.90","26.68K","0.58%"
"02/12/2024","69.10","69.70","70.40","69.00","38.39K","-1.57%"
"02/09/2024","70.20","70.90","70.90","69.00","18.37K","0.29%"
"02/08/2024","70.00","69.00","70.40","69.00","123.85K","1.45%"
"02/07/2024","69.00","70.40","71.50","68.70","7.77K","-1.99%"
"02/06/2024","70.40","70.90","71.50","70.10","32.12K","-0.85%"
"02/02/2024","71.00","69.90","72.50","69.90","309.42K","2.90%"
"02/01/2024","69.00","69.90","70.00","66.60","17.48K","-1.43%"
"01/31/2024","70.00","67.90","70.00","66.60","60.35K","2.94%"
"01/30/2024","68.00","66.00","68.00","66.00","48.13K","2.87%"
"01/29/2024","66.10","65.90","66.50","65.40","39.69K","0.15%"
"01/26/2024","66.00","66.10","66.10","65.50","6.12K","-0.15%"
"01/24/2024","66.10","65.00","66.10","65.00","48.10K","1.69%"
"01/23/2024","65.00","64.50","65.40","64.50","28.40K","0.78%"
"01/22/2024","64.50","65.00","65.70","64.10","19.65K","-0.77%"
"01/19/2024","65.00","65.20","66.00","65.00","14.88K","-1.52%"
"01/18/2024","66.00","65.60","66.40","65.00","78.59K","0.00%"
"01/17/2024","66.00","65.50","66.00","65.10","54.84K","-0.30%"
"01/16/2024","66.20","65.00","66.30","65.00","23.83K","1.53%"
"01/12/2024","65.20","64.60","66.70","64.50","10.82K","0.93%"
"01/11/2024","64.60","65.00","65.40","64.60","9.57K","-0.62%"
"01/10/2024","65.00","66.10","66.80","65.00","41.11K","-3.70%"
"01/09/2024","67.50","67.50","67.50","67.00","41.40K","0.45%"
"01/08/2024","67.20","68.20","68.40","67.20","26.09K","-1.47%"
"01/05/2024","68.20","68.40","68.40","68.10","17.18K","0.29%"
"01/04/2024","68.00","68.50","68.50","67.60","73.70K","-1.31%"
