Date,Price,Source File
09/13/2024,75.5,HAYC
09/12/2024,74.5,HAYC
09/11/2024,76.0,HAYC
09/10/2024,75.9,HAYC
09/09/2024,76.0,HAYC
09/06/2024,77.7,HAYC
09/05/2024,76.0,HAYC
09/04/2024,75.0,HAYC
09/03/2024,74.4,HAYC
09/02/2024,75.0,HAYC
08/30/2024,75.9,HAYC
08/29/2024,75.5,HAYC
08/28/2024,75.0,HAYC
08/27/2024,75.9,HAYC
08/26/2024,76.4,HAYC
08/23/2024,77.5,HAYC
08/22/2024,77.8,HAYC
08/21/2024,78.0,HAYC
08/20/2024,78.4,HAYC
08/16/2024,75.1,HAYC
08/15/2024,78.0,HAYC
08/14/2024,75.0,HAYC
08/13/2024,75.5,HAYC
08/12/2024,77.0,HAYC
08/09/2024,76.6,HAYC
08/08/2024,77.0,HAYC
08/07/2024,77.6,HAYC
08/06/2024,78.5,HAYC
08/05/2024,79.0,HAYC
08/02/2024,79.1,HAYC
08/01/2024,79.0,HAYC
07/31/2024,79.5,HAYC
07/30/2024,79.4,HAYC
07/29/2024,79.9,HAYC
07/26/2024,79.6,HAYC
07/25/2024,79.5,HAYC
07/24/2024,79.1,HAYC
07/23/2024,79.0,HAYC
07/22/2024,79.5,HAYC
07/19/2024,79.3,HAYC
07/18/2024,79.4,HAYC
07/17/2024,79.4,HAYC
07/16/2024,79.5,HAYC
07/15/2024,79.3,HAYC
07/12/2024,79.0,HAYC
07/11/2024,78.0,HAYC
07/10/2024,79.5,HAYC
07/09/2024,78.9,HAYC
07/08/2024,79.6,HAYC
07/05/2024,80.7,HAYC
07/04/2024,78.9,HAYC
07/03/2024,79.0,HAYC
07/02/2024,80.1,HAYC
07/01/2024,80.8,HAYC
06/28/2024,80.5,HAYC
06/27/2024,80.5,HAYC
06/26/2024,81.8,HAYC
06/25/2024,81.7,HAYC
06/24/2024,83.4,HAYC
06/20/2024,82.1,HAYC
06/19/2024,80.4,HAYC
06/18/2024,80.8,HAYC
06/14/2024,81.3,HAYC
06/13/2024,82.0,HAYC
06/12/2024,82.5,HAYC
06/11/2024,83.2,HAYC
06/10/2024,82.3,HAYC
06/07/2024,80.0,HAYC
06/06/2024,80.0,HAYC
06/05/2024,80.6,HAYC
06/04/2024,80.5,HAYC
06/03/2024,79.0,HAYC
05/31/2024,79.0,HAYC
05/30/2024,79.0,HAYC
05/29/2024,79.5,HAYC
05/28/2024,78.6,HAYC
05/27/2024,78.5,HAYC
05/22/2024,79.1,HAYC
05/21/2024,77.2,HAYC
05/20/2024,77.7,HAYC
05/17/2024,78.0,HAYC
05/16/2024,76.0,HAYC
05/15/2024,76.0,HAYC
05/14/2024,76.5,HAYC
05/13/2024,77.5,HAYC
05/10/2024,77.5,HAYC
05/09/2024,78.1,HAYC
05/08/2024,79.0,HAYC
05/07/2024,78.0,HAYC
05/06/2024,75.0,HAYC
05/03/2024,75.0,HAYC
05/02/2024,75.1,HAYC
04/30/2024,75.2,HAYC
04/29/2024,76.1,HAYC
04/26/2024,74.0,HAYC
04/25/2024,74.0,HAYC
04/24/2024,74.5,HAYC
04/22/2024,73.5,HAYC
04/19/2024,72.3,HAYC
04/18/2024,73.2,HAYC
04/17/2024,74.0,HAYC
04/16/2024,74.0,HAYC
04/15/2024,73.5,HAYC
04/10/2024,75.0,HAYC
04/09/2024,74.5,HAYC
04/08/2024,74.4,HAYC
04/05/2024,74.9,HAYC
04/04/2024,75.5,HAYC
04/03/2024,75.6,HAYC
04/02/2024,76.5,HAYC
04/01/2024,76.7,HAYC
03/28/2024,76.5,HAYC
03/27/2024,76.6,HAYC
03/26/2024,76.5,HAYC
03/25/2024,76.1,HAYC
03/22/2024,77.5,HAYC
03/21/2024,76.5,HAYC
03/20/2024,77.0,HAYC
03/19/2024,75.8,HAYC
03/18/2024,75.6,HAYC
03/15/2024,76.5,HAYC
03/14/2024,77.1,HAYC
03/13/2024,78.4,HAYC
03/12/2024,79.0,HAYC
03/11/2024,78.2,HAYC
03/07/2024,78.0,HAYC
03/06/2024,75.3,HAYC
03/05/2024,74.0,HAYC
03/04/2024,73.0,HAYC
03/01/2024,73.5,HAYC
02/29/2024,72.0,HAYC
02/28/2024,72.0,HAYC
02/27/2024,70.0,HAYC
02/26/2024,70.0,HAYC
02/22/2024,72.0,HAYC
02/21/2024,70.0,HAYC
02/20/2024,69.4,HAYC
02/19/2024,69.0,HAYC
02/16/2024,67.5,HAYC
02/15/2024,68.5,HAYC
02/14/2024,68.0,HAYC
02/13/2024,69.5,HAYC
02/12/2024,69.1,HAYC
02/09/2024,70.2,HAYC
02/08/2024,70.0,HAYC
02/07/2024,69.0,HAYC
02/06/2024,70.4,HAYC
02/02/2024,71.0,HAYC
02/01/2024,69.0,HAYC
01/31/2024,70.0,HAYC
01/30/2024,68.0,HAYC
01/29/2024,66.1,HAYC
01/26/2024,66.0,HAYC
01/24/2024,66.1,HAYC
01/23/2024,65.0,HAYC
01/22/2024,64.5,HAYC
01/19/2024,65.0,HAYC
01/18/2024,66.0,HAYC
01/17/2024,66.0,HAYC
01/16/2024,66.2,HAYC
01/12/2024,65.2,HAYC
01/11/2024,64.6,HAYC
01/10/2024,65.0,HAYC
01/09/2024,67.5,HAYC
01/08/2024,67.2,HAYC
01/05/2024,68.2,HAYC
01/04/2024,68.0,HAYC
01/03/2024,68.9,HAYC
01/02/2024,66.6,HAYC
