Date,BFL,CERA,EXPA,GLAS,HAYC
01/02/2024,184.0,94.0,12.8,27.6,66.6
01/03/2024,181.0,94.1,12.7,27.5,68.9
01/04/2024,181.0,,12.8,28.0,68.0
01/05/2024,180.0,,12.7,28.1,68.2
01/08/2024,180.0,97.9,12.8,27.4,67.2
01/09/2024,177.0,,12.5,27.2,67.5
01/10/2024,179.0,99.9,12.6,27.7,65.0
01/11/2024,174.75,99.9,12.5,27.9,64.6
01/12/2024,178.0,100.0,12.4,28.0,65.2
01/16/2024,177.0,,12.2,28.0,66.2
01/17/2024,175.0,94.5,12.5,28.0,66.0
01/18/2024,175.0,100.0,12.2,28.0,66.0
01/19/2024,179.0,,12.5,28.4,65.0
01/22/2024,178.0,,12.2,28.5,64.5
01/23/2024,175.5,99.9,12.2,28.1,65.0
01/24/2024,176.75,100.0,12.2,27.1,66.1
01/26/2024,176.75,100.0,12.2,27.3,66.0
01/29/2024,175.0,100.0,12.3,27.0,66.1
01/30/2024,174.0,100.0,12.3,27.0,68.0
01/31/2024,170.25,100.0,12.2,27.8,70.0
02/01/2024,167.0,,12.4,27.1,69.0
02/02/2024,170.0,,12.2,26.7,71.0
02/06/2024,168.75,,12.2,26.8,70.4
02/07/2024,167.0,,12.3,27.5,69.0
02/08/2024,165.0,100.0,12.2,26.7,70.0
02/09/2024,163.0,,12.2,26.6,70.2
02/12/2024,165.0,,12.0,26.7,69.1
02/13/2024,163.25,,12.2,27.0,69.5
02/14/2024,163.5,,12.2,26.8,68.0
02/15/2024,161.25,100.0,12.0,26.8,68.5
02/16/2024,160.5,100.0,12.2,26.1,67.5
02/19/2024,161.0,95.0,12.1,26.0,69.0
02/20/2024,169.5,,12.1,27.0,69.4
02/21/2024,169.0,95.1,12.0,27.0,70.0
02/22/2024,165.75,102.5,11.9,26.2,72.0
02/26/2024,168.0,100.0,11.9,26.2,70.0
02/27/2024,167.5,98.0,11.9,26.7,70.0
02/28/2024,166.5,102.5,11.9,26.0,72.0
02/29/2024,165.25,102.5,12.1,26.2,72.0
03/01/2024,165.0,96.0,12.2,26.0,73.5
03/04/2024,165.0,95.0,12.2,26.1,73.0
03/05/2024,163.0,95.2,13.0,26.5,74.0
03/06/2024,164.0,91.4,13.0,26.5,75.3
03/07/2024,163.5,9.5,12.6,26.9,78.0
03/11/2024,165.0,98.0,12.7,27.5,78.2
03/12/2024,167.0,,13.3,27.3,79.0
03/13/2024,167.0,104.5,13.2,27.2,78.4
03/14/2024,165.0,104.5,12.9,27.2,77.1
03/15/2024,165.0,105.0,13.1,28.3,76.5
03/18/2024,167.0,,13.0,28.3,75.6
03/19/2024,169.5,104.0,13.1,28.5,75.8
03/20/2024,172.5,107.0,12.9,29.0,77.0
03/21/2024,174.25,104.0,12.8,29.5,76.5
