"Date","Price","Open","High","Low","Vol.","Change %"
"09/11/2024","8.60","8.70","8.70","8.60","1.35M","0.00%"
"09/10/2024","8.60","8.60","8.60","8.40","1.15M","0.00%"
"09/09/2024","8.60","8.70","8.70","8.40","1.79M","-1.15%"
"09/06/2024","8.70","8.70","8.70","8.50","370.79K","0.00%"
"09/05/2024","8.70","8.90","9.00","8.40","20.26M","-1.14%"
"09/04/2024","8.80","8.90","9.00","8.70","523.46K","0.00%"
"09/03/2024","8.80","8.90","8.90","8.60","2.10M","2.33%"
"09/02/2024","8.60","8.90","8.90","8.60","372.98K","-2.27%"
"08/30/2024","8.80","8.90","9.00","8.70","1.08M","-1.12%"
"08/29/2024","8.90","8.90","8.90","8.80","427.60K","0.00%"
"08/28/2024","8.90","9.00","9.00","8.80","281.71K","0.00%"
"08/27/2024","8.90","9.00","9.00","8.80","630.39K","0.00%"
"08/26/2024","8.90","9.00","9.00","8.90","2.68M","-1.11%"
"08/23/2024","9.00","9.10","9.10","8.90","285.71K","0.00%"
"08/22/2024","9.00","9.10","9.30","8.90","9.30M","0.00%"
"08/21/2024","9.00","9.00","9.20","9.00","1.13M","-1.10%"
"08/20/2024","9.10","9.10","9.20","9.00","854.52K","-1.09%"
"08/16/2024","9.20","9.00","9.20","8.90","480.92K","2.22%"
"08/15/2024","9.00","9.30","9.30","8.90","3.93M","-3.23%"
"08/14/2024","9.30","9.30","9.30","9.20","321.31K","0.00%"
"08/13/2024","9.30","9.20","9.30","9.20","27.92K","0.00%"
"08/12/2024","9.30","9.40","9.40","9.20","468.31K","1.09%"
"08/09/2024","9.20","9.40","9.40","9.20","219.63K","0.00%"
"08/08/2024","9.20","9.40","9.40","9.20","116.68K","0.00%"
"08/07/2024","9.20","9.30","9.40","9.20","935.72K","-1.08%"
"08/06/2024","9.30","9.30","9.40","9.20","331.93K","-1.06%"
"08/05/2024","9.40","9.50","9.50","9.30","116.77K","-1.05%"
"08/02/2024","9.50","9.40","9.60","9.30","2.54M","1.06%"
"08/01/2024","9.40","9.60","9.60","9.40","1.24M","0.00%"
"07/31/2024","9.40","9.40","9.60","9.40","2.07M","-1.05%"
"07/30/2024","9.50","9.60","9.60","9.40","94.15K","0.00%"
"07/29/2024","9.50","9.60","9.80","9.50","637.99K","-1.04%"
"07/26/2024","9.60","9.60","9.80","9.50","278.96K","1.05%"
"07/25/2024","9.50","9.70","9.70","9.40","3.46M","-1.04%"
"07/24/2024","9.60","9.40","9.60","9.40","269.91K","2.13%"
"07/23/2024","9.40","9.30","9.50","9.20","4.09M","2.17%"
"07/22/2024","9.20","9.40","9.50","9.20","577.17K","-2.13%"
"07/19/2024","9.40","9.50","9.50","9.20","136.16K","3.30%"
"07/18/2024","9.10","9.40","9.70","9.10","1.65M","-3.19%"
"07/17/2024","9.40","9.50","9.60","9.40","626.71K","-1.05%"
"07/16/2024","9.50","9.60","9.70","9.50","194.39K","-1.04%"
"07/15/2024","9.60","9.50","9.60","9.40","1.97M","2.13%"
"07/12/2024","9.40","9.40","9.70","9.40","522.83K","-1.05%"
"07/11/2024","9.50","9.70","9.70","9.40","584.12K","-2.06%"
"07/10/2024","9.70","9.60","9.70","9.40","485.61K","2.11%"
"07/09/2024","9.50","9.50","9.70","9.50","247.42K","0.00%"
"07/08/2024","9.50","9.70","9.80","9.40","1.10M","-1.04%"
"07/05/2024","9.60","9.70","9.80","9.60","359.83K","-1.03%"
"07/04/2024","9.70","9.80","9.80","9.60","650.71K","0.00%"
"07/03/2024","9.70","9.80","9.80","9.60","425.87K","-1.02%"
"07/02/2024","9.80","9.80","9.80","9.70","347.71K","0.00%"
"07/01/2024","9.80","9.90","9.90","9.70","362.19K","-1.01%"
"06/28/2024","9.90","10.00","10.10","9.70","1.09M","0.00%"
"06/27/2024","9.90","10.00","10.00","9.90","1.18M","-1.00%"
"06/26/2024","10.00","10.00","10.10","9.90","635.98K","0.00%"
"06/25/2024","10.00","10.00","10.10","9.90","967.62K","0.00%"
"06/24/2024","10.00","10.20","10.20","9.90","1.48M","-0.99%"
"06/20/2024","10.10","10.10","10.20","10.00","365.33K","0.00%"
"06/19/2024","10.10","10.20","10.20","10.00","687.68K","-0.98%"
"06/18/2024","10.20","10.40","10.40","10.10","616.13K","-1.92%"
"06/14/2024","10.40","10.50","10.50","10.10","3.22M","-9.57%"
"06/13/2024","11.50","11.40","11.50","11.30","2.51M","0.88%"
"06/12/2024","11.40","11.40","11.40","11.30","382.30K","0.00%"
"06/11/2024","11.40","11.40","11.40","11.30","1.97M","0.00%"
"06/10/2024","11.40","11.40","11.50","11.30","710.30K","0.00%"
"06/07/2024","11.40","11.50","11.50","11.20","746.03K","0.00%"
"06/06/2024","11.40","11.40","11.50","11.20","990.45K","0.88%"
"06/05/2024","11.30","11.10","11.40","11.10","847.34K","1.80%"
"06/04/2024","11.10","11.20","11.20","11.00","4.33M","-0.89%"
"06/03/2024","11.20","11.20","11.20","11.00","6.47M","0.90%"
"05/31/2024","11.10","11.30","11.30","11.10","748.61K","-1.77%"
"05/30/2024","11.30","11.30","11.30","11.10","460.90K","1.80%"
"05/29/2024","11.10","11.20","11.20","11.00","1.96M","0.91%"
"05/28/2024","11.00","11.20","11.20","10.90","629.11K","-1.79%"
"05/27/2024","11.20","11.20","11.20","11.10","544.64K","0.90%"
"05/22/2024","11.10","11.10","11.20","11.10","990.18K","0.00%"
"05/21/2024","11.10","11.30","11.30","11.10","327.44K","-0.89%"
"05/20/2024","11.20","11.30","11.40","11.10","805.11K","-0.88%"
"05/17/2024","11.30","11.40","11.40","11.20","403.81K","-0.88%"
"05/16/2024","11.40","11.50","11.50","11.30","382.31K","0.00%"
"05/15/2024","11.40","11.60","11.60","11.30","384.85K","0.00%"
"05/14/2024","11.40","11.50","11.60","11.40","396.22K","-0.87%"
"05/13/2024","11.50","11.50","11.60","11.40","252.92K","-0.86%"
"05/10/2024","11.60","11.60","11.70","11.50","256.55K","0.87%"
"05/09/2024","11.50","11.50","11.70","11.40","52.76M","0.00%"
"05/08/2024","11.50","11.70","11.70","11.40","7.10M","-2.54%"
"05/07/2024","11.80","11.90","11.90","11.60","214.32K","0.00%"
"05/06/2024","11.80","11.70","11.90","11.70","842.46K","0.85%"
"05/03/2024","11.70","11.90","12.00","11.50","689.16K","-0.85%"
"05/02/2024","11.80","11.90","12.00","11.80","4.48M","0.00%"
"04/30/2024","11.80","11.90","12.00","11.70","1.85M","-0.84%"
"04/29/2024","11.90","11.90","11.90","11.70","300.70K","0.00%"
"04/26/2024","11.90","11.90","12.00","11.70","5.19M","0.00%"
"04/25/2024","11.90","11.90","12.00","11.80","862.84K","0.00%"
"04/24/2024","11.90","11.80","12.00","11.80","140.03K","0.00%"
"04/22/2024","11.90","12.00","12.00","11.70","707.61K","0.00%"
"04/19/2024","11.90","12.00","12.10","11.70","1.18M","0.85%"
"04/18/2024","11.80","11.70","12.10","11.70","1.24M","1.72%"
"04/17/2024","11.60","11.80","11.90","11.50","15.40M","-0.85%"
"04/16/2024","11.70","12.00","12.00","11.70","688.69K","-2.50%"
"04/15/2024","12.00","11.90","12.00","11.90","46.61K","-0.83%"
"04/10/2024","12.10","11.90","12.10","11.90","494.45K","0.83%"
"04/09/2024","12.00","12.10","12.10","11.80","1.68M","0.00%"
"04/08/2024","12.00","12.00","12.20","12.00","1.11M","0.00%"
"04/05/2024","12.00","11.70","12.10","11.70","2.46M","1.69%"
"04/04/2024","11.80","11.70","11.90","11.70","95.74K","-0.84%"
"04/03/2024","11.90","11.70","11.90","11.60","266.95K","2.59%"
"04/02/2024","11.60","11.50","11.60","11.50","767.21K","0.00%"
"04/01/2024","11.60","11.70","11.80","11.50","821.47K","-0.85%"
"03/28/2024","11.70","11.90","12.00","11.60","86.07K","-0.85%"
"03/27/2024","11.80","11.90","12.00","11.80","1.94M","-0.84%"
"03/26/2024","11.90","11.70","11.90","11.70","1.01M","1.71%"
"03/25/2024","11.70","11.80","11.80","11.60","121.94K","-0.85%"
"03/22/2024","11.80","11.90","12.00","11.70","563.30K","0.00%"
"03/21/2024","11.80","11.60","11.90","11.60","1.20M","2.61%"
"03/20/2024","11.50","11.30","11.60","11.30","1.64M","1.77%"
"03/19/2024","11.30","11.20","11.40","11.20","1.64M","0.89%"
"03/18/2024","11.20","11.00","11.30","11.00","660.15K","0.90%"
"03/15/2024","11.10","11.00","11.10","11.00","337.38K","0.00%"
"03/14/2024","11.10","11.10","11.20","11.00","886.43K","0.91%"
"03/13/2024","11.00","10.80","11.10","10.80","1.85M","0.92%"
"03/12/2024","10.90","10.70","10.90","10.70","528.91K","1.87%"
"03/11/2024","10.70","10.80","10.80","10.70","234.65K","-0.93%"
"03/07/2024","10.80","10.60","10.80","10.60","258.29K","1.89%"
"03/06/2024","10.60","10.70","10.70","10.50","106.55K","-0.93%"
"03/05/2024","10.70","10.50","10.80","10.50","1.38M","1.90%"
"03/04/2024","10.50","10.60","10.60","10.50","200.60K","-0.94%"
