"Date","Price","Open","High","Low","Vol.","Change %"
"16/09/2024","301.303","301.698","301.698","301.303","","-0.13%"
"15/09/2024","301.698","301.698","301.698","301.698","","0.07%"
"13/09/2024","301.500","300.850","302.250","300.550","","0.07%"
"12/09/2024","301.300","300.850","302.000","300.550","","0.17%"
"11/09/2024","300.800","300.500","301.100","300.400","","0.10%"
"10/09/2024","300.500","301.125","301.150","299.750","","-0.10%"
"09/09/2024","300.800","299.150","301.000","299.100","","0.64%"
"06/09/2024","298.900","298.700","299.025","298.450","","0.05%"
"05/09/2024","298.750","298.850","298.875","298.675","","-0.03%"
"04/09/2024","298.850","298.800","299.050","298.800","","-0.05%"
"03/09/2024","299.000","299.050","299.350","298.975","","0.03%"
"02/09/2024","298.900","299.200","299.200","298.575","","-0.03%"
"30/08/2024","299.000","299.675","299.800","299.200","","-0.33%"
"29/08/2024","300.000","300.450","300.500","300.075","","-0.17%"
"28/08/2024","300.500","300.400","300.900","300.350","","0.07%"
"27/08/2024","300.300","301.100","301.100","300.250","","-0.13%"
"26/08/2024","300.700","299.950","301.250","299.950","","0.33%"
"23/08/2024","299.700","301.250","301.250","299.700","","-0.43%"
"22/08/2024","301.000","300.300","301.550","300.300","","0.25%"
"21/08/2024","300.250","299.750","300.375","299.375","","0.28%"
"20/08/2024","299.400","298.675","299.850","298.650","","0.19%"
"19/08/2024","298.818","297.594","298.818","297.594","","0.04%"
"16/08/2024","298.700","298.900","298.975","298.450","","-0.07%"
"15/08/2024","298.900","299.050","299.050","298.750","","-0.07%"
"14/08/2024","299.100","299.075","299.350","298.900","","0.02%"
"13/08/2024","299.050","299.500","299.550","298.900","","-0.12%"
"12/08/2024","299.400","299.950","299.950","299.300","","-0.18%"
"09/08/2024","299.950","300.850","300.850","299.850","","-0.28%"
"08/08/2024","300.800","301.550","301.550","300.625","","-0.23%"
"07/08/2024","301.500","302.075","302.175","301.550","","-0.17%"
"06/08/2024","302.000","302.275","302.700","301.850","","-0.10%"
"05/08/2024","302.300","301.925","302.425","301.800","","0.17%"
"02/08/2024","301.800","302.275","302.300","301.825","","-0.13%"
"01/08/2024","302.200","302.325","302.575","302.225","","-0.02%"
"31/07/2024","302.250","302.400","302.550","302.275","","-0.05%"
"30/07/2024","302.400","302.650","302.650","302.125","","-0.07%"
"29/07/2024","302.600","303.200","303.200","302.625","","-0.10%"
"26/07/2024","302.900","303.125","303.300","302.875","","-0.10%"
"25/07/2024","303.200","303.500","303.625","303.200","","-0.07%"
"24/07/2024","303.400","303.400","303.750","303.400","","-0.03%"
"23/07/2024","303.500","303.950","304.025","303.650","","-0.08%"
"22/07/2024","303.750","303.550","303.900","303.050","","0.08%"
"19/07/2024","303.500","303.850","303.950","303.375","","-0.07%"
"18/07/2024","303.700","303.800","304.100","303.625","","0.07%"
"17/07/2024","303.500","303.500","304.300","303.250","","0.17%"
"16/07/2024","303.000","302.250","303.700","302.000","","0.23%"
"15/07/2024","302.300","301.550","302.525","300.700","","0.22%"
"12/07/2024","301.650","302.775","302.800","301.800","","-0.38%"
"11/07/2024","302.800","303.500","303.550","302.875","","-0.26%"
"10/07/2024","303.600","303.600","303.900","303.600","","-0.10%"
"09/07/2024","303.900","304.200","304.325","303.950","","-0.12%"
"08/07/2024","304.250","304.700","304.700","304.200","","-0.08%"
"05/07/2024","304.500","304.750","305.000","304.400","","0.10%"
"04/07/2024","304.200","304.050","304.750","304.050","","0.00%"
"03/07/2024","304.200","303.250","304.750","302.750","","0.56%"
"02/07/2024","302.500","304.850","304.900","302.050","","-0.82%"
"01/07/2024","305.000","306.000","306.125","305.050","","-0.29%"
"28/06/2024","305.900","305.750","306.175","305.550","","0.13%"
"27/06/2024","305.500","305.300","305.850","305.200","","0.07%"
"26/06/2024","305.300","305.100","305.400","305.100","","0.07%"
"25/06/2024","305.100","305.150","305.325","305.125","","0.03%"
"24/06/2024","305.000","305.150","305.375","305.100","","-0.10%"
"21/06/2024","305.307","305.226","305.905","305.226","","0.07%"
"20/06/2024","305.100","305.575","305.850","305.100","","0.07%"
"19/06/2024","304.900","305.150","305.625","304.650","","0.10%"
"18/06/2024","304.600","304.100","304.800","303.900","","0.29%"
"17/06/2024","303.718","303.872","303.975","303.718","","-0.03%"
"14/06/2024","303.800","303.725","304.000","303.725","","0.02%"
"13/06/2024","303.750","303.750","304.025","303.600","","0.02%"
"12/06/2024","303.700","303.525","304.025","303.275","","0.16%"
"11/06/2024","303.200","303.050","303.700","303.050","","0.03%"
"10/06/2024","303.100","302.800","303.450","302.625","","0.20%"
"07/06/2024","302.500","302.575","302.825","302.475","","-0.10%"
"06/06/2024","302.800","302.250","302.900","302.250","","0.18%"
"05/06/2024","302.250","302.000","302.475","302.000","","0.07%"
"04/06/2024","302.050","301.950","302.425","301.900","","0.08%"
"03/06/2024","301.800","301.875","301.950","301.775","","0.00%"
"31/05/2024","301.800","301.700","302.000","301.650","","-0.02%"
"30/05/2024","301.850","301.500","302.075","301.500","","0.15%"
"29/05/2024","301.400","301.375","301.600","300.750","","-0.10%"
"28/05/2024","301.700","300.450","302.000","300.450","","0.43%"
"27/05/2024","300.400","300.250","300.650","300.050","","0.35%"
"24/05/2024","299.339","300.113","301.078","299.339","","-0.26%"
"23/05/2024","300.113","300.106","300.277","300.106","","0.07%"
"22/05/2024","299.900","299.600","300.250","299.500","","0.03%"
"21/05/2024","299.800","299.550","299.900","299.525","","0.08%"
"20/05/2024","299.550","299.650","300.000","299.425","","0.08%"
"17/05/2024","299.300","300.050","300.050","299.400","","-0.43%"
"16/05/2024","300.600","301.750","302.300","300.300","","-0.46%"
"15/05/2024","302.000","301.500","302.350","301.500","","0.50%"
"14/05/2024","300.500","300.800","301.775","300.475","","0.17%"
"13/05/2024","300.000","299.050","300.525","298.900","","0.50%"
"10/05/2024","298.500","298.525","298.900","298.150","","-0.03%"
"09/05/2024","298.600","298.200","298.875","298.150","","0.07%"
"08/05/2024","298.400","298.900","299.025","298.200","","-0.33%"
"07/05/2024","299.400","298.200","300.000","298.200","","0.47%"
"06/05/2024","298.000","297.125","298.700","297.125","","0.34%"
"03/05/2024","297.000","296.850","297.350","296.800","","0.03%"
"02/05/2024","296.900","297.375","297.375","296.375","","-0.41%"
"01/05/2024","298.134","296.639","298.501","296.639","","0.30%"
"30/04/2024","297.250","298.000","298.500","297.375","","0.25%"
"29/04/2024","296.500","296.350","297.625","296.150","","0.20%"
"26/04/2024","295.900","296.200","296.400","295.900","","-0.30%"
"25/04/2024","296.800","297.250","297.300","296.850","","-0.32%"
"24/04/2024","297.750","300.125","300.125","297.875","","-0.72%"
"23/04/2024","299.896","300.702","300.702","299.896","","-0.13%"
"22/04/2024","300.300","302.000","302.250","300.375","","-0.23%"
"19/04/2024","301.000","301.500","302.350","301.500","","0.00%"
"18/04/2024","301.000","301.500","302.000","301.000","","0.00%"
"17/04/2024","301.000","300.500","302.000","300.500","","0.42%"
"16/04/2024","299.750","299.050","300.300","298.900","","0.28%"
"15/04/2024","298.900","298.500","299.400","298.450","","0.18%"
"12/04/2024","298.362","298.504","298.624","298.362","","-0.05%"
"11/04/2024","298.504","298.993","301.991","298.504","","0.03%"
"10/04/2024","298.400","298.400","298.525","298.275","","-0.05%"
"09/04/2024","298.550","298.650","298.725","298.500","","-0.08%"
"08/04/2024","298.800","299.050","299.050","298.750","","-0.13%"
"05/04/2024","299.200","299.500","299.500","299.125","","-0.15%"
"04/04/2024","299.650","299.850","299.850","299.675","","-0.03%"
"03/04/2024","299.750","299.900","299.950","299.775","","-0.03%"
"02/04/2024","299.850","299.800","299.975","299.750","","-0.05%"
"01/04/2024","300.000","300.125","300.175","299.875","","-0.15%"
"29/03/2024","300.442","300.469","300.791","300.442","","0.05%"
"28/03/2024","300.300","300.300","300.425","300.125","","-0.17%"
"27/03/2024","300.800","301.250","301.300","300.825","","-0.33%"
"26/03/2024","301.800","302.000","302.050","301.800","","-0.26%"
"25/03/2024","302.600","303.300","303.325","302.525","","-0.20%"
"22/03/2024","303.200","303.650","303.700","303.300","","-0.21%"
"21/03/2024","303.850","303.875","303.925","303.700","","-0.07%"
"20/03/2024","304.050","303.850","304.700","303.850","","0.07%"
"19/03/2024","303.850","303.875","304.000","303.750","","-0.18%"
"18/03/2024","304.400","304.700","304.700","304.450","","-0.25%"
"15/03/2024","305.150","305.125","305.275","305.100","","-0.11%"
"14/03/2024","305.500","305.600","305.675","305.125","","-0.16%"
"13/03/2024","306.000","306.450","306.450","306.075","","-0.13%"
"12/03/2024","306.400","306.945","306.945","306.400","","-0.16%"
"11/03/2024","306.900","307.025","307.125","306.875","","-0.22%"
"08/03/2024","307.563","306.081","307.563","305.955","","0.10%"
"07/03/2024","307.250","307.850","307.850","307.250","","-0.11%"
"06/03/2024","307.600","307.800","307.900","307.600","","-0.10%"
"05/03/2024","307.900","307.625","308.050","307.625","","0.03%"
"04/03/2024","307.800","308.000","308.100","307.800","","-0.29%"
"01/03/2024","308.700","309.250","309.250","308.750","","-0.26%"
"29/02/2024","309.500","309.900","309.975","309.550","","-0.16%"
"28/02/2024","310.000","310.550","310.325","309.750","","-0.08%"
"27/02/2024","310.250","310.675","311.000","310.400","","-0.14%"
"26/02/2024","310.700","310.850","311.000","310.375","","-0.09%"
"23/02/2024","310.983","311.041","311.792","310.983","","0.09%"
"22/02/2024","310.700","311.100","311.250","310.550","","-0.19%"
"21/02/2024","311.300","311.800","311.875","311.375","","-0.16%"
"20/02/2024","311.800","312.100","312.250","311.800","","-0.10%"
"19/02/2024","312.100","312.050","312.625","312.050","","-0.03%"
"16/02/2024","312.200","312.750","312.750","312.125","","-0.16%"
"15/02/2024","312.700","313.050","313.450","312.650","","-0.13%"
"14/02/2024","313.100","313.100","313.210","313.000","","0.03%"
"13/02/2024","313.000","313.400","313.850","312.950","","-0.08%"
"12/02/2024","313.250","312.900","313.700","312.750","","0.21%"
"09/02/2024","312.600","312.875","313.275","312.750","","-0.05%"
"08/02/2024","312.750","313.250","313.675","312.875","","0.00%"
"07/02/2024","312.750","313.125","313.350","312.475","","-0.24%"
"06/02/2024","313.500","312.125","314.000","312.125","","0.35%"
"05/02/2024","312.400","311.750","312.750","311.750","","0.29%"
"02/02/2024","311.500","311.000","313.000","310.250","","-0.54%"
"01/02/2024","313.200","314.700","314.700","313.150","","-0.79%"
"31/01/2024","315.700","316.300","316.300","315.800","","-0.35%"
"30/01/2024","316.800","317.700","317.700","316.900","","-0.25%"
"29/01/2024","317.600","317.700","318.100","317.500","","0.03%"
"26/01/2024","317.500","317.050","317.775","317.050","","-0.36%"
"25/01/2024","318.662","318.491","318.968","318.491","","0.21%"
"24/01/2024","318.000","319.650","319.800","318.000","","-0.53%"
"23/01/2024","319.700","319.850","320.050","319.650","","-0.03%"
"22/01/2024","319.800","320.250","320.250","319.725","","-0.09%"
"19/01/2024","320.100","320.600","320.800","320.200","","-0.12%"
"18/01/2024","320.500","320.550","321.350","320.375","","-0.09%"
"17/01/2024","320.800","321.400","321.525","320.900","","-0.19%"
"16/01/2024","321.400","322.000","322.025","321.450","","-0.18%"
"15/01/2024","321.992","321.873","322.442","321.873","","0.00%"
"12/01/2024","322.000","322.100","322.325","322.000","","-0.16%"
"11/01/2024","322.500","322.850","322.850","322.425","","-0.08%"
